Company,Industry,Review Title,Review Text,Rating,Date
Canva,Software,,"I started using Canva as an addition to CapCut. I like the fact that Canva is good for anyone who is new to video and image creation. I would recommend it for anyone that is just starting out , becaus... See more",4,2026-08-07T06:15:32.000Z
Canva,Software,,We have a school version of Canva and it seems to me that there are limitations unless it's because I'm not using the system correctly. I watch tutorials that say I can do this or that but when I try... See more,4,2026-08-07T21:12:46.000Z
Canva,Software,,"Basically, because it's pretty much user-friendly. I appreciate the offers; they are great for aspiring artists and entrepreneurs who may not have the money to access all of their awesome services. I... See more",4,2026-07-30T20:05:56.000Z
Canva,Software,,Canva is amazing but I really wish if they could add layering separate taps like how other graphic tools have so u can download all the layers separately. it will be really nice. But overall canva is... See more,4,2026-07-30T21:32:31.000Z
Canva,Software,⭐⭐⭐⭐⭐,"⭐⭐⭐⭐⭐
Excellent customer service! I recently had an issue with a subscription charge that I wasn't aware of. I contacted Canva Support, and they responded incredibly quickly and resolved the issue within minutes. The refund was processed without any hassle. I really appreciate how helpful and responsive the Canva team was. Thank you, Canva! 🙏",5,2026-08-11T14:26:21.000Z
Canva,Software,A little intimidating at the beginning…,A little intimidating at the beginning to understand how to edit to videos,3,2026-08-11T12:23:07.000Z
Canva,Software,Easy to create and amazing can be done…,Easy to create and amazing can be done here!,5,2026-08-11T10:51:58.000Z
Canva,Software,Canva is an exceptional tool for all…,"Canva is an exceptional tool for all kinds of graphic design needs, especially because of its incredible variety of templates. Whether you need professional business presentations, engaging social media posts, modern resumes, or creative event flyers, Canva offers thousands of high-quality options. The design flexibility allows users to customize colors, fonts, and layouts effortlessly. It saves so much time while consistently delivering polished, highly professional-looking results for every project",5,2026-08-11T03:09:22.000Z
Canva,Software,The workers were very nice although I'm…,The workers were very nice although I'm still having the same problem after it's been fixed 🥲,5,2026-08-10T21:20:18.000Z
Canva,Software,Their service sucks,"Their service sucks, they think that by instantly issuing a code for a re-print solves the problem",1,2026-08-10T20:40:34.000Z
Canva,Software,Very helpful for someone not tech savvy.,Very helpful for someone not tech savvy.,5,2026-08-10T18:49:28.000Z
Canva,Software,Wanted refund not even a day,"Wanted refund not even a day, couldn’t help me not using this again",1,2026-08-10T18:35:13.000Z
Canva,Software,All the people that were attended to my…,"All the people that were attended to my case, so professional and helpful! Thanks so much",5,2026-08-10T16:59:01.000Z
Canva,Software,I really enjoy using Canva,"I really enjoy using Canva! It’s super easy to use, even if you don’t have much design experience. There are so many great templates to choose from, and I can quickly make presentations, flyers, social media posts, and more. It saves me a lot of time, and my designs always come out looking professional. Definitely recommend!",5,2026-08-10T16:18:04.000Z
Canva,Software,I had three charges from Canva come out…,I had three charges from Canva come out of my bank account that was debited on my husband‘s debit card that we did not authorize! I could not get a hold of someone at Canva because I could not find a customer service number anywhere on the website and no one emailed me back for a couple days. I had to have my bank dispute the charges. Luckily my bank was able to get the refund after disputing! There were three charges to my account in two days totaling $186! no company should have a website and not a good customer service number that someone can call.,1,2026-08-10T15:40:40.000Z
Canva,Software,Canva is so wonderful and so easy to…,"Canva is so wonderful and so easy to use, creatively bringing to life the programs that we create to share with others. I can’t imagine life without Canva!",5,2026-08-10T15:40:27.000Z
Canva,Software,Love how easy Canva is!,"Love how easy Canva is!

Canva is a great website. I love how you don't have to be good at making slideshows and presentations to use it. Canva AI is great for generating images, and giving you accurate anwers!",5,2026-08-10T14:41:49.000Z
