Company,Industry,Review Title,Review Text,Rating,Date
DoorDash,Food Delivery,,"Just a heads-up for anyone who uses DoorDash. I recently placed an order, and the store was out of the items I ordered. The store told me to report the items as out of stock in the DoorDash app... See more",1,2026-08-06T14:28:30.000Z
DoorDash,Food Delivery,,Second time I placed delivery order from the same restaurant. Second time Door Dash delivered someone else's order. Door Dash customer service said all they could do was refund order - but not the w... See more,1,2026-08-08T23:35:27.000Z
DoorDash,Food Delivery,,Cancelled order DoorDash charged afterward on account Ask to cancel transaction on account for order was cancelled Instead they put a credit on DoorDash account I didn’t ask for On message to... See more,1,2026-08-01T06:42:01.000Z
DoorDash,Food Delivery,,I ordered McDonald's Door Dash delivery and they delivered an entirely wrong order! The driver claimed to have delivered the correct order but I have the bag with the receipt clearly showing the order... See more,1,2026-08-02T21:17:43.000Z
DoorDash,Food Delivery,I decided to write a review based on…,I decided to write a review based on service since I have moved. I realized when I came to write a review they have the worst reviews I’ve ever seen of any company and it’s understandable. They are liars they cheat they steal your money. They bring you food that’s nothing but shit that you have to throw out when it gets here. I really can’t think of anything worse that they could do that. They haven’t already done. They are criminals and they steal your money.,1,2026-08-11T08:20:16.000Z
DoorDash,Food Delivery,The worse service you ever have!!,The worse service you ever have!!! I placed an order for the groceries for Costco through door dash. They delivered to completely different address and refused to take a responsibility out of it!! I spent $300 for this and got nothing!! Their help desk are useless!! Even the the supervisor are useless!! The map clearly shown they dropped it off to the wrong place!! And all they need just to retrieve it and sent it to the rite one!! How hard is that be??? So unfair from my end but they literally do nothing about it!! Pls don’t ever use this useless service!! They are more like robbing u!!,1,2026-08-11T05:31:42.000Z
DoorDash,Food Delivery,My driver or dasher did fantastic,My driver or dasher did fantastic,5,2026-08-11T04:28:01.000Z
DoorDash,Food Delivery,Very disappointing experience with…,"Very disappointing experience with DoorDash. I placed an order and provided the correct delivery address, but the order was marked as “delivered” to a completely different address. I never received my food.

When I contacted customer service, I was told that it was an “app glitch” and that it was not their fault, and they refused to provide any meaningful solution.

As a customer, I shouldn’t have to deal with the consequences of an error in the app or delivery system. If the order was delivered to the wrong address, DoorDash should take responsibility and resolve the issue instead of simply blaming a technical glitch.

Very poor customer service and a frustrating experience. I expected much better from DoorDash.",1,2026-08-11T03:19:41.000Z
DoorDash,Food Delivery,Anytime I place an order,"Anytime I place an order, I am unable to make ANY custom changes, and I don't mean anything detailed, just no ice in my drink or something similar. The bottom portion where these requests should go is completely grayed out, and no changes to the prompt can be made. It states instead that I have to call the restaurant to make special requests.

The fact is that you cannot make special requests if you can't get the restaurant on the phone, which is impossible during a rush.

When I called DoorDash, I was told that there isn't anything that they will do about it because the problem is the merchant. But if I call the merchant, they say it's a setting that's decided by DoorDash. Nobody is willing to fix anything, and everyone just passes the buck. I've now cancelled my DashPass subscription permanently.",1,2026-08-11T01:44:17.000Z
DoorDash,Food Delivery,The worst customer service and driver…,"The worst customer service and driver delivery service I have ever experience since delivery began. I order and got the wrong order and my whole food experience was ruined. They only gave me one third of the total cost back. The bag was soiled with wet greasy spots. I was terrified
Doordash consistently does this to me. I have had an account for a year and this day I decided to terminate. Don't do business with Doordash. They personally are all low on the scale.",1,2026-08-11T01:22:45.000Z
