Company,Industry,Review Title,Review Text,Rating,Date
Netflix,Streaming Service,,"Nothing wrong with the service or quality of streaming. What I take issue with is with all the woke directing that is being forced down our throats. For example, The Witcher season 4. There is no n... See more",2,2026-08-02T16:56:44.000Z
Netflix,Streaming Service,,"I used to think Netflix was brilliant, now it's just terrible, what's happened to making brilliant documentaries like making of a murderer. And don't f##k with cats to name a couple and TV series like... See more",1,2026-08-08T17:47:33.000Z
Netflix,Streaming Service,,I recently watched immortal man and was horrified to discover tommy Shelburn was killed. The actor who plays is son is a dreadful actor. Please dont make anymore episodes. You have ruined the series f... See more,2,2026-07-27T00:01:59.000Z
Netflix,Streaming Service,,"Things have been getting worse for a long time. It’s becoming more expensive all time and on top of that, instead of making it easier to access the platform customers pay for, access is being made m... See more",1,2026-06-25T20:07:38.000Z
Netflix,Streaming Service,I watched many shows on Netflix that…,I watched many shows on Netflix that were cool but there are some movies that look exciting and are not that good overall,4,2026-08-11T10:21:39.000Z
Netflix,Streaming Service,Worst experience ever called customer…,Worst experience ever called customer service about getting a discount or price consideration since I would be upgrading my membership to premium and adding two additional users to my account have been with Netflix since 2016 so I thought I could speak to someone that could help me save some money being a good member and had never even spoken to anyone at their customer service since I opened my account so as a good customer thought maybe they can give me a discount…spoke to a rep by the name of “G” she was rude as could be she said there are no discount no matter how long you being so I asked if I could speak to manager she said nothing would change because asking for manager was not going to give me a discount so then she transferred me so she said buy another person got on the call and said she was the manager called “Q” and her response was this is a month to month app we do not give discounts nor offer better prices and that their is no membership her and that if I did not like it I could cancel anytime and go somewhere else to be happy with a prince to my liking and that I can give them a bad review because Netflix don’t care about customers and that they don’t have will to cancel at anytime,1,2026-08-10T05:34:33.000Z
Netflix,Streaming Service,Non existent customer service,There is no one to respond to account billing issues! Really awful service!,1,2026-08-10T03:40:29.000Z
Netflix,Streaming Service,Login function error,"Login function error, even the payment function failed; this company is a piece of shit, what a shame",1,2026-08-09T16:05:46.000Z
Netflix,Streaming Service,Always works great for our family,Always works great for our family. Never had problems. Easy to unsubscribe when needed (we somestimes change our viewing habits to Disney Plus or Apple Tv).,5,2026-08-09T11:56:15.000Z
Netflix,Streaming Service,Rerun central nothing new here,"Rerun central nothing new here
Same shit different day",1,2026-08-09T03:08:19.000Z
Netflix,Streaming Service,Greedy assholes,"Greedy assholes, I can not even watch in my vacation home anymore or when i am on the go somewhere. No i am not going to update my account, i will cancel my subscription",1,2026-08-08T21:25:23.000Z
Netflix,Streaming Service,"Issues with downloads, and customer support is absolutely useless","A couple of weeks ago, I downloaded some episodes, they showed up as downloaded in the app, but when playing them, a couple of min in, I’d receive a message saying “You’ve reached the end of what was downloaded, connect to the network to keep watching”.

Now, some episodes I had downloaded simply disappeared from the app, despite the fact that I didn’t uninstall it, clear cache, or touch anything else. The TV series is still there, so it isn’t a licensing issue either.

In both instances, contacting support was absolutely useless, the only answer being “Download the episodes again”. If I had downloaded them in the first place, it clearly means that there was some reason why I could not download them after??? Like limited data?!?!

It’s just absurd how a key (and basic!!!) feature like Downloads can be so unreliable and Customer Support so unhelpful, considered the premium prices we pay for this subscription.",1,2026-08-08T18:42:56.000Z
Netflix,Streaming Service,I used to think Netflix was brilliant,"I used to think Netflix was brilliant, now it's just terrible, what's happened to making brilliant documentaries like making of a murderer. And don't f##k with cats to name a couple and TV series like Ozark and vikings Valhalla ect. I don't mind foreign shows if there good, but it seems like there just putting any absolute rubbish on please sort it out before millions of people stop paying for your service.",1,2026-08-08T17:47:33.000Z
Netflix,Streaming Service,Voice over Crap,"Why are we paying to watch voice over movies?? It’s crap and never used to be like this, not a good experience at all 🤬",2,2026-08-08T14:22:55.000Z
Netflix,Streaming Service,DON'T SUBSCRIBE TO NETFLIX,"I opened a new Netflix account and Netflix ads became so frequent and invasive that it really began to tick me off - they became more frequent than US network TV ads - so I asked 5 close friends if they were having the same annoyance Turns out the older the Netflix account, the fewer ads you apparently have to suffer. So don't subscribe!

At first, I wondered if it was a ploy to squeeze me for more money, some ""ad free"" upgrade - but that's not an option. I didn't recall my old account (3 years earlier) being so ad-riddled. No option to get rid of ads, like Amazon Prime offers? Really Netflix? Are you that out of touch with your audience and trends that you're becoming like the DVD rental service that spawned you? Disappointing.

Worse still, the annoying ""flag"" button while ads appear, does absolutely nothing at all. It's obviously just an appeasement /psychological device to make you think your opinions are valued but I've repeatedly checked the boxes ""This ad is irrelevant to me"" and ""Ad appears too often"" but it's made no difference to the algorithm - to the point where the brands with which I'm being bombarded, I'm now boycotting them because I'm so sick of being subjected to their saccharin, exaggerated clips that only peddle carcinogens to the masses. Call me a conspiracy nut but Netflix care more about their ad revenues than subscriber revenues and I've had enough, so I've cancelled my subscription.",1,2026-08-08T10:46:14.000Z
Netflix,Streaming Service,One of the worst platforms to exist you…,One of the worst platforms to exist you are now litrally paying to watch adverts. Bye netflix bye bye.,1,2026-08-07T13:17:04.000Z
Netflix,Streaming Service,Tubi had a lot of the same and if u…,Tubi had a lot of the same and if u start watching a show don’t exspected a end because they cancel everything,1,2026-08-07T06:51:12.000Z
Netflix,Streaming Service,Thank you to protect the family…,Thank you to protect the family account—this is mandatory and non-negotiable.,5,2026-08-07T04:36:05.000Z
Netflix,Streaming Service,Horrible horrible horrible,"Horrible horrible horrible. It uset to be so good, but lately they removed every tv show and movie that's actually good. Be better of cancelling the whole subscription. I would give 0 stars if I could.",1,2026-08-06T19:07:40.000Z
Netflix,Streaming Service,Constant buffering and ads every 10…,Constant buffering and ads every 10 minutes. Ridiculous!!!,1,2026-08-06T11:25:05.000Z
Netflix,Streaming Service,Thieves,"I consider this unacceptable. Netflix has been charging my credit card £18.99 per month for over 12 months without my consent. I have always chosen the £11.99 package and never opted for the Premium plan. However, my subscription was somehow restarted on the Premium package, despite this never being my choice.

The only other person with access to my account is my son, whose profile has parental controls in place. For that reason, I do not believe he could have restarted or upgraded my subscription.

I have also experienced difficulties trying to permanently delete my Netflix account. In addition, I have been unable to remove my son’s profile. I have taken screenshots documenting everything I have attempted.

Please be assured that I will be checking my account every day until 23/08/2026, the date Netflix has stated that my account will be permanently deleted, to ensure that no further charges are made.

For the record, I understand the difference between cancelling a membership and permanently deleting a Netflix account. I have requested the permanent deletion of my Netflix account.

Thank you.",1,2026-08-06T07:36:41.000Z
Netflix,Streaming Service,It does have a good variety of movies…,It does have a good variety of movies and TV shows but a lot of them aren't that good anymore. The price keeps increasing and you can't even share the login anymore. This is getting out of hand.,3,2026-08-06T06:49:01.000Z
Netflix,Streaming Service,Non existent customer service. An arrogant company,"2 days to get onto webchat to speak to a plank who could not resolve issue. So Ever increasing prices to sustain their greed, whilst all the while showing more and more old and dated stuff and adding more and more ads or restrictions to access. And NOW they cannot even employ webchat staff, or train them properly? The arrogance of this Company is astounding, they do not even bother to respond to any of their highly negative reviews. No wonder they’re losing so many subscribers and saw 10% of their $300B value wiped out recently after stopping providing subscriber data to investors - to hide how many they’re losing! I will be next as just cancelled!",1,2026-08-05T17:10:08.000Z
Netflix,Streaming Service,I can’t believe the documentary about…,"I can’t believe the documentary about Micheal Jackson even he was bigger then them the cut out the amazing wonderful beautiful parts and which Was his whole life he wrote song that depends on the world this is sick I can’t believe they would do something like this he is the king of pop he is kind, nice, loved by millions, and INNOCENT I can’t believe he made millions happy more like billions and be carful Netflix his family,his friends, his kids, and billions of people are going to sue you watch your back Micheal Jackson is INNOCENT period end of discussion",1,2026-08-04T19:28:29.000Z
Netflix,Streaming Service,Just like with the corrupted app,"Just like with the corrupted app, called ""WhatsApp, here we can recognize terrible mainstream platform provider.
Who was the childish guy who decided we want those compulsory games in the app, huh?
And what exactly made those persons remove the Golden ""Categories"" view from both the desktop and mobile program? No, people using mainly ""recommendations"" is not a justification for crippling a video provider that way!
Like I said, the situation is just like WhatsApp - terrible mainstream performance and ridicilus manager measures, and just like that crippled little green app, I will try to never use the mainstream called Netflix again. So disappointing, one couldn't ever imagine.",1,2026-08-03T18:22:47.000Z
Netflix,Streaming Service,I'd rather stick pins in my eyes than deal with them again,I wish they offered minus stars because I have had one he.ll of a frustrating afternoon with Netflix trying to just get them to accept Sky on my account. 2 agents (Satendar / Terlapu) - who have to take the brunt because Netflix won't train them properly or invest in proper customer services.,1,2026-08-03T15:44:23.000Z
Netflix,Streaming Service,Great streaming service,Great streaming service the pricing may be the downsides but this is a great way to watch shows and movies,4,2026-08-03T12:27:18.000Z
Netflix,Streaming Service,Deceived by Netflix,"I was cheated big by this platform, when they're claiming an offer for new members, of 7 days free-to-watch service to test, but ultimately, I ended up being charged for a whole month!
This is outrageous, lying new subscribers in such despicable way! You'll never hear about me being your member, no sir... cause you are a fraud!",1,2026-08-02T23:52:41.000Z
Netflix,Streaming Service,I've seen everything on Netflix years…,I've seen everything on Netflix years ago. Very few new programmes.,1,2026-08-02T23:13:23.000Z
Netflix,Streaming Service,Go Woke go Broke...,"Nothing wrong with the service or quality of streaming. What I take issue with is with all the woke directing that is being forced down our throats. For example, The Witcher season 4. There is no need to have multiple homosexual relationships in a show that is supposed to be about Geralt and Ciri. Also, the casting is clear woke ideology that is not true of the original material. I can see why Henry Cavil was not happy with the direction of the show. There are other examples of ruined shows such as The Last Airbender that has terrible casting and actors. Simply, stick the source material and keep true to it. Go by what the fans want not your female HR department and it's DEI agendas.",2,2026-08-02T16:56:44.000Z
Netflix,Streaming Service,Why is law not enforced?,Why is law not enforced? They use illegal methods (like clicking in a field NEXT to the button) to cancel your cancellation. After that you cannot cancel and customer support is not existent in my account.,1,2026-08-02T16:12:32.000Z
Netflix,Streaming Service,I tried to ask them why was my account…,"I tried to ask them why was my account charged for extra money when I cancelled my account and they were not even replying me one single message or they kept like I called the customer helpline. All they were saying was Mum can you please let me talk mam can you please let me talk? This is not our fault this that and did not even let me speak. I was just asking a question. Why did this happen to me? Why did they charge me extra when I cancelled my Membership? Like my membership cancelled on the 29th? They charged me extra 599 for on the 31st, like why did that happen and all they were saying we refunded it but I was asking what was the problem",1,2026-08-02T03:14:31.000Z
Netflix,Streaming Service,I pay to watch my shows movies not ads…,I pay to watch my shows movies not ads I’m tired of it guess this is like regular tv now can’t get away with not seeing ads,3,2026-08-02T02:30:07.000Z
Netflix,Streaming Service,Netflix took advantage of an 84 yr old for $30,"My mother and I shared the 19.99 plan
(2 houses). Everytime I logged into Netflix at my house, she was unable to watch Netflix at her house. She is 84 yrs old and couldn't understand how to get back into Netflix and I would have to go over to her house and do it for her. She finally completely stopped watching Netflix altogether. All of a sudden our bill increased from 19.99 to 29.15 for May, June and July. Netflix said my mom upgraded the account. I explained to them IF she did, it was completely by accident...they refused to refund the difference...not even 1 month. I canceled our subscription. Netflix SUX!",1,2026-08-01T21:14:24.000Z
Netflix,Streaming Service,NETFLIX,"NETFLIX
NETFLIX
DUE TO YOUR ""Sick"" MOVIES AND SCENES, MORE AND MORE ""Sick"" BEHAVIOR IS BEING NOTICED IN PEOPLE.
YOU ARE SERIOUSLY POISONING SOCIETY!
I HOPE PEOPLE WILL REALIZE THIS SOON AND SAY GOODBYE TO THE NETFLIX BRAIN AND SOUL POISONING! !🤮🤮🤮🤮🤮🤮🤮🤮🤮",1,2026-07-31T15:20:11.000Z
Netflix,Streaming Service,Utter ancors for cancelling KAOS,Utter ancors for cancelling KAOS. you will never see a dime of my money again. Infact this final straw was the reason I invested in a ripped firestick. Down with netflix,1,2026-07-31T13:18:19.000Z
Netflix,Streaming Service,So now netflix costs more,"So now netflix costs more. But they have done nothing to improve the quality of movies.
Also there was a crappy movie. And almost every three minutes. Commercials pop up.
What is it with them?
They dont appreciate the customers that pay?
It's like they are punishing you and me for having netflix.",1,2026-07-31T02:54:46.000Z
Netflix,Streaming Service,Why are the ratings so low?,"Why are the ratings so low. Netflix is used every day in our house, selection and quality of tv series is really good. Price plans have steadily increased but that's ok by me",5,2026-07-30T22:57:48.000Z
Netflix,Streaming Service,Stop blasting adverts at 3x the volume!!!,"Netflix need to stop showing adverts at twice the bloody volume!
Literally just got given a migraine and nearly had my eardrum blown out by a dominos advert.
Sort your shit out 😡",2,2026-07-30T12:29:40.000Z
Netflix,Streaming Service,This company needs to be investigated…,"This company needs to be investigated immediately, netflix’s blatant interest in gore / shock factor content. is disturbing, and clearly creating real world issues in hateful racial and abuse content ! Not to mention their pockets getting filled by real world killers and rapist ! This company needs to be shut down immediately, human safety and decency is more important then making these predators more dangerous! Burn Netflix down and all of holly wood",1,2026-07-30T10:23:05.000Z
Netflix,Streaming Service,Shocking content standard - Hosting offensive racist tropes,"I am deeply shocked and disgusted by the movie ""A Remarkable Tale"" (Lo nunca visto) on Netflix. It is absolutely unacceptable that a global platform like Netflix approves, hosts, and promotes a film with such tone-deaf, racist themes and offensive stereotypes. Treating Black characters as flat caricatures belongs in the past, not on our screens today. Netflix needs to take accountability, review this content, and uphold higher standards of respect and diversity.— Matilde Mendes#ARemarkableTale #LoNuncaVisto #Netflix #ContentCompliance",1,2026-07-30T09:09:57.000Z
Netflix,Streaming Service,I am experiencing an issue while…,"I am experiencing an issue while watching movies on Netflix on my television. When I pause a movie and then press the Play button to resume, only the audio plays while the video does not resume properly.

I have tested this on another television as well, and the same issue occurs, so it does not appear to be a TV-specific problem.

Could you please investigate this issue",1,2026-07-30T06:50:50.000Z
Netflix,Streaming Service,I've generally had a good experience…,"I've generally had a good experience with Netflix, and the streaming quality and interface are excellent. However, I feel that the catalog lacks enough fresh content, especially for long-time subscribers. It would be great to see more new movies and series added more frequently.

Another frustrating issue is the strict VPN detection system. I travel abroad frequently, and sometimes I use a VPN for privacy or security reasons. Being blocked or restricted because of this makes the service much less convenient for people who travel often. I understand the licensing challenges, but I hope Netflix can find a more user-friendly solution for legitimate subscribers.

Overall, Netflix is still a great service, but improving these two points would make it even better.",3,2026-07-29T04:15:53.000Z
Netflix,Streaming Service,i cant login on my pc what is this,i cant login on my pc what the fRIck is this shit like i already pay but i have to pay again for my pc frick Netflix,1,2026-07-28T19:25:39.000Z
Netflix,Streaming Service,Very disappointing experience,"Very disappointing experience. I signed out of all devices, changed my password, and even verified that no one else should have access to my account. Despite that, Netflix still shows that more than one device is watching.
This is extremely frustrating because it makes me question whether the sign-out feature actually works properly. Users should be able to trust that logging out of all devices and changing their password will immediately remove unauthorized access.",1,2026-07-27T18:24:53.000Z
Netflix,Streaming Service,"Rubbish series "" Man on Fire""","Just watched a Netflix series in the UK called Man on Fire. It was pathetic, poorly scripted and filmed. It was like watching Enid Blyton's ""Famous Five"" but with guns, just missing the dog. Absolute rubbish.",1,2026-07-27T15:06:21.000Z
