Company,Industry,Review Title,Review Text,Rating,Date
Spotify,Streaming Service,,"Used to think this was a brilliant app and a real boon to a music loving pensioner until I was kicked off from my son's Family account as we no longer live in the same house. Why call it Family, surel... See more",1,2026-08-08T19:20:53.000Z
Spotify,Streaming Service,,"Awful. Says free trial for a month to find they want to take £1.01 from your account so if youre on you bum with mobey, you cannot start the ""free"" trial. If you dont pay premium, you can only skip a... See more",1,2026-08-11T15:43:09.000Z
Spotify,Streaming Service,,"It's one of the worst apps in the world, you can't listen to your songs until you pay, which is pretty bad when you're under 18 and your parents are saving every penny.You can't listen to songs, you c... See more",1,2026-08-11T13:41:12.000Z
Spotify,Streaming Service,,"Spotify is honestly the best app on any of my devices, the personalized sets of playlists each day. I hear something new I love every week, especially New Music Friday and Release Radar. I wish I alwa... See more",5,2026-07-29T21:38:43.000Z
Spotify,Streaming Service,Awful,"Awful. Says free trial for a month to find they want to take £1.01 from your account so if youre on you bum with mobey, you cannot start the ""free"" trial. If you dont pay premium, you can only skip a certain amount of songs and replay a certain amount as well. Down loaded play list also gets deleted if you dobt comply. Go to youtube. If its on Spotify its on YouTube and its worth paying for no ads because theres literally everything on there so you wont be paying multiple services trying to find that 1 thing :) youtube all the way.",1,2026-08-11T15:43:09.000Z
Spotify,Streaming Service,"SPOTIFY IS THE WORST APP IN THE WORLD, IT'S A STEALING","It's one of the worst apps in the world, you can't listen to your songs until you pay, which is pretty bad when you're under 18 and your parents are saving every penny.You can't listen to songs, you can't choose what you listen to, it puts shit on there that you don't like and you can't even switch it off.You are constantly interrupted by ads even though you have an adblocker,What bothers me the most is that I can't listen to what I want, only what they force on me.",1,2026-08-11T13:41:12.000Z
Spotify,Streaming Service,So called `Free Trial',"I signed up for a `Free Trial' on Spotify's Audiobook subscription and I made a date on my Calendar to cancel the trial before it became chargeable. Unfortunately this cancellation mysteriously vanished and they charged me the full amount, despite the fact I hadn't used the service for even a second. I spent the best part of 2 hours trying to remedy this without success. They said they send an email out confirming cancellation but having cancelled for second time I still haven't received this email. Just rubbish customer service and avoid their so called Free Trials at all costs!!",1,2026-08-10T19:50:21.000Z
Spotify,Streaming Service,So much choice,"Thee is only one problem with Spotify premium as far as this sometimes indecisive person is concerned. With so much choice, what shall I listen to next.

Whether relaxing at home or out and about, Spotify is my go to choice for music, podcasts and audio books. As well as tried and trusted favourites, I use it as a way to discover new artists and groups, by typing two or three letters and randomly choosing one of the things that appears.",5,2026-08-10T11:50:17.000Z
Spotify,Streaming Service,Spotify is still serving paid…,"Spotify is still serving paid advertisements before podcasts, despite my having a Premium subscription. To be clear, I am not referring to ads that are embedded in the podcast by the creator or host. These are Spotify-delivered ads that play before the podcast starts.

I contacted Customer Support and was informed that this is the expected behaviour under the current offering.

Frankly, I find this quite disappointing. Paying for a Premium subscription while still being served ads before content starts feels contrary to the purpose of a paid, ad-free service. In my view, this significantly reduces the value of the subscription and creates a poor customer experience, zero value in paying for Sportify!",1,2026-08-10T09:21:16.000Z
Spotify,Streaming Service,Used to think this was a brilliant app…,"Used to think this was a brilliant app and a real boon to a music loving pensioner until I was kicked off from my son's Family account as we no longer live in the same house. Why call it Family, surely Household if you can't support your own parents in their later years! With 2 kids under 4 unlikely to use, surely due a refund? Shame on you, Spotify: blatant profiteering and I suggest lacking the principles of its foundation. Chasing the dollar. What a world we are turning into...",1,2026-08-08T19:20:53.000Z
Spotify,Streaming Service,Good for songs but what’s the point of…,Good for songs but what’s the point of advertising for people to advertise and then advertise for premium so they don’t want to listen to ads it’s beyond me,3,2026-08-06T18:53:42.000Z
Spotify,Streaming Service,SPAM emails,"I have a domain name email. I kept getting daily SPAM emails to this address for many years.

I searched everywhere. How are they getting my email? The only thing I used it for was a free Spotify account – but all notifications were switched off on Spotify.

I changed my address on Spotify to a dump gmail address and the SPAM immediately ended on my domain address *and* on Google.

My conclusion: Spotify is selling my domain name address. Google has a better SPAM filter that knocks out these emails.

If you are using Spotify, use a gmail dump address as your login.",1,2026-08-09T12:45:15.000Z
Spotify,Streaming Service,I cancelled my subscription trial last…,"I cancelled my subscription trial last week, but my card was still billed for the next month anyway. When I tried using the live chat support, the agent kept switching every few messages, and nobody gave a straightforward answer about my refund request. I had to dispute the transaction through my online banking app. Turning off auto-renew in the account dashboard feels intentionally confusing.",1,2026-08-06T09:54:17.000Z
Spotify,Streaming Service,Incompetent… Who could guess?,"Those unprofessional and incompetent people allow anyone to register using any email address. They do send a verification email, thankfully, but they still let the original id*ot use your email address to create an account.

I've had to delete an account three times. Three times they allowed someone else to register with my email. Three times I had to remove accounts that should never have been created if the company had followed basic modern practices for account registration on the Internet.",1,2026-08-06T00:40:43.000Z
Spotify,Streaming Service,Scam,"Absolute scam. They continued to charge me for 3 months after I thought I cancelled the subscription, with ZERO email notifications or invoices sent. Customer service is basically robots reading T&Cs and refusing to escalate. I had to go through my bank to issue a Chargeback to get my money back. Avoid giving them your card details!",1,2026-08-05T00:18:24.000Z
Spotify,Streaming Service,Plays similar songs for me after…,Plays similar songs for me after listening like 5 songs! Don’t download!,1,2026-08-03T15:07:51.000Z
Spotify,Streaming Service,I like the app,"I like the app. Having all your fave music at the tip of your fingers is great.
Here’s the cons. I stream almost every day & because I stream, I cannot listen to my fave music (dmca) so I’ve been forced to source alternative music in the same genre.
Now because I am forced to listen to bands I would never normally listen to my fave bands are not getting anything from me in revenue because I am forced onto other dmca free music. Kudos to those bands they’re getting revenue.
My anger at it all is that now according to spotify is my fave bands are no longer my fave bands, now all the dmca free music is my fave music & this couldn’t be further from the truth.
It’s disappointing that I can no longer listen to or support my fave music such as metallica, five finger death punch, screaming jets, ac/dc, etc because of dmca. Hope the music industry is happy with that.
Also, I now have to unsubscribe from spotify notifications because it sends me notifications on tours for my apparently new fave music & no notifications for my actual fave bands, disappointing system",5,2026-08-03T13:15:32.000Z
Spotify,Streaming Service,Terrible Customer Service,"Its ok when it works but try and get help thats a different matter. All contact is through Chat which isn't great but it can work, however ive tried numerous times and the agent keeps changing like every couple of responses so you end up getting nowhere and the next agent misunderstands and then contradicts the previous one. I've also had money debited from my account, not a normal monthly subscription cost a couple of times and then refunded a few days later without explanation nor can the chat explain. This is marketed premium service with a premium cost but terrible customer service, its like they are providing customer service for a free App. I've moved elsewhere, come on Spotify get your act together or you will be finished.",2,2026-08-02T22:24:39.000Z
Spotify,Streaming Service,I het it sucks when you don't pay for…,"I het it sucks when you don't pay for it. But it should work at least at a decent level when you literally pay for it every month. It keeps telling you ""no wifi"" when ant other app has wifi, is somehow unable to play downloaded songs without wifi, of at least not without gigadelay. Jeez this is a paid service get ur shit together",1,2026-07-30T21:39:32.000Z
Spotify,Streaming Service,It just became my default,"I use Spotify almost every day, mostly while I'm working or driving.
Most of the time I don't even make playlists anymore. I start with one song and let it keep going. Sometimes I skip a few tracks, but over time it has got really good at recommending music I actually like. I've found quite a few artists that I probably wouldn't have discovered on my own.
I also like that I can switch between my phone and laptop without thinking about it. Everything just stays where I left it.",5,2026-07-30T13:04:35.000Z
Spotify,Streaming Service,This app is trying to force me to pay and it doesn’t allow me to pick a song because of it,"This app is trying to force me to pay for to listen on what I want and it’s always switching up my songs from my playlist I can’t even pick on what I want to listen to and it’s telling me that I have to pay zero dollars for one month with no ads and then after I have to pay for premium because of it even though I tried my cash app and it declined for no reason, even though I have over 80$",1,2026-07-30T05:44:14.000Z
Spotify,Streaming Service,Spotify is honestly the best app on any…,"Spotify is honestly the best app on any of my devices, the personalized sets of playlists each day. I hear something new I love every week, especially New Music Friday and Release Radar. I wish I always had access to all of the music basically ever produced. I forgot how I lived before this app.",5,2026-07-29T21:38:43.000Z
Spotify,Streaming Service,Im not a spotify custmer and i keep…,Im not a spotify custmer and i keep having money taken from mh bank account ive just tried to contact them for a refund and there were not helpful what so ever,1,2026-07-29T15:37:49.000Z
Spotify,Streaming Service,THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE…,THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍THE DO😍,1,2026-07-29T01:48:49.000Z
Spotify,Streaming Service,Gift Cards no longer,"Since Spotify has stopped offering prepaid gift cards in retail stores, you've left me with no choice but to switch to another music streaming service. I don't want a subscription, and I appreciated having the flexibility to pay with prepaid gift cards.

So, goodbye Spotify. You're not the only option anymore. If more customers who prefer prepaid payments make the same decision, it could affect your ability to attract and retain users.",2,2026-07-28T23:28:43.000Z
Spotify,Streaming Service,worst support ever,my account got hacked and i tried contacting support 3 times and everytime i did they just closed conversation after saying they will check it out without any respone worst support ive dealt with in my life and a horrible app too,1,2026-07-28T11:31:56.000Z
Spotify,Streaming Service,Great matching features,"Great app, great search features and music matches. Huge library of music. Not sure where all the hate comes from.",5,2026-07-28T08:11:58.000Z
Spotify,Streaming Service,The Most Horrible and Unstable App Ever Made.,"The most horrible and unstable app on Planet Earth for Windows, Android, and any other Operating System ever made on God's Green Earth. I tried installing 3 different versions on my Windows11 Desktop. Every time it gives me Error 103. I cleared data, Reinstalled, Tried Running as Admininistrator. Cleared and Flushed my DNS, my IP address. Formatted and Fresh installed it again on my Harddive, hell I even got in touch with microsoft Support since it keps telling me my firewall was blocking it but I never changed my settings and even disabled my firewall but nope. Nothing. Every other applicaiton on my desktop is working just fine without a hitch.

I'd rather listen to Elephants Farting than any music track on this Dumpster Fire of an app.",1,2026-07-27T21:54:19.000Z
Spotify,Streaming Service,Used to be good not anymore,"Hi
Went on a paid trial and even though I cancelled was still charged for a renewal tired to contact them which was difficult and long and at the end still charged me for a month of service that I won’t be using but they have lost mine and my families business for ever so be careful they are nearly impossible to contact and when you do you wish for hadn’t
Kind regards Debs",1,2026-07-26T13:19:29.000Z
Spotify,Streaming Service,Great!,Been using Spotify for quite a long while. Really love it!👍🏻🙂❤️,5,2026-07-25T06:27:45.000Z
Spotify,Streaming Service,Had the unfortunate experience of…,Had the unfortunate experience of having profiles across different regions. Asian access and costs are far superior to the nonsense they provide in the west which is thick with limitations and advertising. One of those leech companies we should all make an effort to avoid. There are far superior artist friendly alternatives. Gross.,1,2026-07-24T17:20:20.000Z
Spotify,Streaming Service,I love the selection of musics but…,I love the selection of musics but their treatment of customers on the free plan is atrocious,3,2026-07-24T16:18:56.000Z
Spotify,Streaming Service,smth experience and the free version…,smth experience and the free version works pretty well,5,2026-07-24T15:13:16.000Z
Spotify,Streaming Service,Worst customer service I have ever come across,"This is the worst customer service I ever encountered. I fell for a three month free trial via the Trainline app. However I didn't use it so cancelled within about six weeks. Got a screen message confirming that I would revert to the free version and thought no more about it until I saw payment taken from my credit card in July. I hadn't even used the service or I guess I would have noticed I was not on the free version. But I was seriously ill in hospital at the time.
I have just wasted nearly an hour trying to find customer service to be told refunds aren't in their policy. Then they offer to cancel now as if they are doing me a favour. An utter disgrace and a cynical way to exploit customers",1,2026-07-24T14:04:09.000Z
Spotify,Streaming Service,Spotify is the worst listening app…,Spotify is the worst listening app imaginable. If you dont want to pay 14 buck a month and go on free be ready to have an add every 2 songs. I cant even listen to one playlist without having more adds than my actual songs. They treat their free users like trash. Don't install it.,1,2026-07-23T20:09:04.000Z
Spotify,Streaming Service,really arrogant customer service,"really arrogant customer service. there were problems with the family account, the issue could not be resolved. I do not recommend this to anyone who wants reliability from the service. customer service was directed to India where the person behaved in a disrespectful manner.",1,2026-07-22T15:34:56.000Z
Spotify,Streaming Service,i had a premium family subscription…,"i had a premium family subscription with 6 family members, now they claim that my credit card didn't work,( No problem with my Card anywhere else) they cancelled my family plan, without informing me. and now my only option is a plan for 4 people for the same amount as before. in short a 33% price hike.",1,2026-07-22T12:29:16.000Z
Spotify,Streaming Service,An inconvenient disappointment,"There's a peculiar irony in being told that, as a frequent traveller, I must use a payment method issued in whatever country I happen to find myself in.

One would imagine that a company of Spotify's scale had long since mastered the rather mundane art of accepting payment from customers who occasionally cross borders.

Instead, you've managed to transform a simple subscription into an administrative obstacle course.

It's an inconvenience at best, and an excellent incentive for customers to explore competitors at worst.",1,2026-07-22T11:23:54.000Z
Spotify,Streaming Service,Disappointing Recent Updates,"I've been using Spotify for years, and it's usually fantastic, but recent updates are frustrating. The new interface feels cluttered, making it hard to find what I want. Plus, the app crashes more often now. I hope they fix these issues soon.",2,2026-07-20T14:40:13.000Z
Spotify,Streaming Service,Good music and playlists but Im so…,Good music and playlists but Im so annoyed by advertised music :((,3,2026-07-20T10:57:34.000Z
Spotify,Streaming Service,La version gratuita es terrible y la…,La version gratuita es terrible y la premium demasiado cara por el servicio. Dinosaurios,1,2026-07-20T02:45:35.000Z
Spotify,Streaming Service,Spotify 100% sucks,Spotify 100% sucks! It always stops playing! It's annoying. You would think they would fix it by now with having so many one-star ratings. If I could give it a zero star I would. I'd rather pay for YouTube premium..,1,2026-07-19T19:54:57.000Z
Spotify,Streaming Service,I was on a run,"I was on a run, like i do every day and all of a sudden the song im listening to cuts out and starts blasting some sort of rap in my ear.When i tried to fix it it got louder so i threw off my headphones and got hit by a car which i could’ve dodged if spotify hadn’t been so shitty, now i am in the hospital with a broken femur all because of spotify.",1,2026-07-17T04:28:52.000Z
Spotify,Streaming Service,False accounting,Take money from my bank account for a Spotify account which I have never opened. When I ask for my money back they refuse. Abysmal,1,2026-07-13T17:26:43.000Z
Spotify,Streaming Service,fffuuuckk Spotify bro,"This app is the most ridiculous thing I have ever dealt with. It constantly randomly likes to log me out and then when I try to log back in it does not cooperate with me what-so-ever. This app is more annoying, frustrating, and idiotic than my husbands parents. I hate this app. I hate everything about it. Just get amazon music. Im so traumatized I felt the need to write this review.",1,2026-07-12T05:35:57.000Z
Spotify,Streaming Service,Ads on a paid plan — I'm out,"I've been paying for Spotify Duo, yet Spotify now injects ads into podcasts on a paid subscription. There is no excuse for showing ads to paying customers — that's the whole point of paying. After 10 years and 373 liked songs, I've migrated my entire library and podcasts to YouTube Music and cancelled my subscription. Trash move, Spotify.",1,2026-07-09T13:11:51.000Z
Spotify,Streaming Service,Ads on podcasts,"Ads on podcasts
overpriced",1,2026-07-09T09:38:57.000Z
Spotify,Streaming Service,so shit i cant even play my music,"so shit i cant even play my music, its super slow on my phone and it has nothing good to offer when not paying, worst music app ever",1,2026-07-08T15:41:04.000Z
Spotify,Streaming Service,Spotify is the worse music app ever,Spotify is the worse music app ever they give you 5+ ads for listening to 2 songs it's not funny at all . Also the 6 skips per hour and you can only pick songs yourself limited amount of times is so freaking stupid. I wish Spotify could see this and go back to the way it was before because the way it is now is horrible. I'm actually thinking of switching to YouTube music,1,2026-07-07T18:51:41.000Z
Spotify,Streaming Service,"Verified student still being over charged, no refund.","I verified my account as a student account and should have only been charged 6.99. Instead I got charged 12.99 and when I tried to get a refund, the policy says ""will not refund for charges already paid"". Yeah isn't the whole point of a refund to get your money back? On top of that the FAQ help section is useless and confusing. Under the ""Charged too much"" tab, all it shows is how to view your receipt and THATS IT, does NOT address how to solve getting charged too much. Scummy business and policy. Canceled subscription and looking for alternatives.",1,2026-07-07T08:44:52.000Z
Spotify,Streaming Service,"Spotify is a vGreat for listeners, frustrating for independent artistsery strong platform from…","Spotify is a very strong platform from a listener’s perspective: it is convenient, easy to use, offers a huge music library, and has become one of the main places where people discover and listen to music.

From the perspective of an independent artist, however, my experience is much more disappointing. Spotify gives the impression of reach and visibility, but in practice very little of that turns into real support or sustainable growth. Streams generate extremely low income, older achievements quickly lose visibility, follower numbers feel unstable, and without additional marketing money almost nothing happens.

The problem is not Spotify alone, but the whole system around it. Artists create the music, invest time, money and energy, while platforms, distributors, labels and marketing services benefit far more from the structure. For independent musicians, this can easily become frustrating: you keep working, hoping and investing, but the system rarely gives much back.

For listeners, Spotify is excellent. For independent artists, it can be deeply discouraging, unfair and exhausting.",2,2026-07-07T06:16:54.000Z
Spotify,Streaming Service,Thieves of the music industry,Thieves of the music industry . They steal royalties and streams from artists around the world . Artists only get paid after the first 1000 streams which is a kick in the teeth on all hardworking musicians . They should be sued .,1,2026-07-06T10:29:38.000Z
Spotify,Streaming Service,Insane with the ads,"Insane with the ads. I got through TWO songs before I had to listen to FOUR advertisements. I realize this is the free version, but seriously?",1,2026-07-06T04:56:14.000Z
Spotify,Streaming Service,I love my Spotify and have built it up…,I love my Spotify and have built it up over years. Im now paying for premium without the services and have been for months. There is no way to contact to fix this. How do I fix this as I’ve paid for approx 6 months with no premium.,2,2026-07-04T03:16:58.000Z
Spotify,Streaming Service,Spotify makes me mad,Spotify is awful I can’t even choose what song I play anymore and the ads are longer than the songs! It only allows me six skips and won’t let me sign into my family plan GO TO APPLE MUSIC,1,2026-07-03T22:37:40.000Z
Spotify,Streaming Service,I try every single one of the methods I…,"I try every single one of the methods I learn about, yet my songs keep getting skipped no matter what. I might have to switch to Apple Music. It's a good thing I have cds and vinyls though.",1,2026-07-03T22:03:10.000Z
Spotify,Streaming Service,Kinda aids when you go the app and the…,"Kinda aids when you go the app and the show you a playlist and they show you a completly different list way away from ur music liking? idk, even if you pay the app feels like a complete malware at this point with all the pop ups distubing you from playing the music you acutally want to listen to.",1,2026-07-03T21:18:48.000Z
Spotify,Streaming Service,AI music???,"First, they should better compensate the artists who devote so much time to creating their music. Second, they should ban the fake AI-generated artists found on their platform. AI-generated music generates no revenue for artists, yet you pay to listen to it. I wouldn't be surprised if Spotify were inventing these fake artists to fill our playlists. Shame on them.",1,2026-07-01T23:39:29.000Z
Spotify,Streaming Service,Cancelled my subscription in April,Cancelled my subscription in April. Randomly got a subscription charge 2 months later July 1. Contacted support two different agents told me two different stories never got a refund. If you cancel your subscription make sure you delete your card. Sketchy ass people,1,2026-07-01T22:29:15.000Z
Spotify,Streaming Service,Loss of all saved music. Again.,"For the 5th time, the payment failed for my premium family account despite me following the instructions from the last very long exchange of messages from the support team. There was no option to pay and reinstate the family account, it reverted to my previous individual account. All of my son's saved music was lost. Again.",1,2026-07-01T09:16:22.000Z
Spotify,Streaming Service,Worst customer experience ever,"Just to change your payment date you have to cancel, wait until the free service starts, then wait again to resubscribe on your preferred payment date!

And worse than that rigmarole- you’ll be bumped back to the £21.99 Family Premium with Audio Books even if you were previously on the £17.99 plan.

A succession of emails from random “Executive Escalation” won’t help you. One even suggested I make sure my payment card had no funds until my preferred payment date so my usual payment would fail until then! That was truly suggested to me as a solution!

😂",1,2026-06-30T07:12:36.000Z
Spotify,Streaming Service,If there is a option in negative I will…,If there is a option in negative I will prefer it!! But I don't recommend anyone to all to buy Prem and waste af all hardworking money,1,2026-06-29T18:45:18.000Z
Spotify,Streaming Service,I'm done with the free tier,"I'm done with the free tier. The ads are relentless, every few songs, same handful of irrelevant ads on repeat. If this is ""targeting,"" it's broken.

The part that actually made me write this is that, if you turn the volume down during an ad it pauses (!!!!), then restarts the second you turn it back up. Is this even allowed?

That's not an ad-supported service Spotify, that's just hostile.

I'm not asking for ad-free. But being literally forced to listen to all ads, which are terrible targeted on top of that, so literally not relevant at all, ads up to an experience that feels designed to wear you down until you pay.",1,2026-06-29T13:28:58.000Z
Spotify,Streaming Service,Do better and let us enjoy our music,"I likeSpotify, however, please add a premium plan as a free option so we don't have to pay to remove your very stupid and annoying ads so rudely interrupt our music and the fact on the current free plan version we only get six skips. Spotify, do better",1,2026-07-02T20:57:22.000Z
Spotify,Streaming Service,peak,seeing the amount of 1 star reviews is frying me bcs idk what drugs ur spotify is on 🥹 i personally LOVE my spotify like it does what it needs to do... all the ai playlists are really annoying me but some of them are actually so funny like why is there a legit playlist called 'the adventures of tung tung tung sahur.' anyway love spotify and im glad that mine isn't tweaking...,5,2026-06-28T00:00:45.000Z
Spotify,Streaming Service,Shuffle play just plays the same songs…,Shuffle play just plays the same songs all the time and even repeats them! So frustrating and I’ve had to delete certain songs ha that I love because I’m sick of it picking those ones and it’s actually put me off certain songs I used to love!,1,2026-06-27T12:50:11.000Z
Spotify,Streaming Service,Audio books,Why. Why???? Spotify gives only 15 hours of audio books. Barely can listen one before time cuts off. Yes… adding extra 15 hours/$12.99 is greedy from the company.,2,2026-06-26T17:50:26.000Z
Spotify,Streaming Service,Customer service absolutely useless,Customer service absolutely useless. Many hours going round in circles on a webchat. Simple issue still not resolved.,1,2026-06-25T19:05:23.000Z
Spotify,Streaming Service,i was charged for no reason,"i was charged for no reason, with my new card that i never even added. this company refused my refund. never useing this site/app, avoid if you can.",1,2026-06-24T16:26:00.000Z
Spotify,Streaming Service,Slop app,"You genuinely hear more ads than actual music, and it doesn't help that it's always the same 5 ""targeted"" ads that have no correlation to you",1,2026-06-24T14:05:24.000Z
Spotify,Streaming Service,Can't log in to reset my password,"tried logging in after months of being away. I can't use my email address as it is a registered member. i was so cool. I try to log in says ""OOPS and some Bullshit""

i can't get to any page wher i can access my detaild to update payment as SPOTIFY wont let me into my own account!!!

ia was needing some music for my morning run. I will choose another provider. SPOTIFY YOU LOST A CUSTOIMER AS I COULD NOT EVEN GET TO RESET MY PASSWORD",1,2026-06-24T05:34:10.000Z
Spotify,Streaming Service,what's wrong with the laggy music like…,what's wrong with the laggy music like i swear it stays paused for like a whole minute and it only goes back to normal when i go the app its self its just so annoying. Also they decided to think it was a good idea to add 1 AND A HALF MUUNUTE ADDS!!!! like can it get any worse. alr that's all,1,2026-06-24T01:11:04.000Z
Spotify,Streaming Service,Terrible cancellation procedure and the…,Terrible cancellation procedure and the free option plays the same few songs on my 400 liked songs,1,2026-06-23T21:38:08.000Z
Spotify,Streaming Service,Spotify struggles in the free version,"Unfortunately, Spotify is not the best (in the free version). In the free version I somehow can't use repeat which I love doing on my MacBook, you can't use repeat on mobile for some reason. Don't know if it's just my mobile phone or everybody else's phone. Sometimes when I create a music playlist it will always just play a different song in the middle of playing a playlist that's not relevant to the song's added in the playlist. Oh, and also one time it promised to play 2 ads but instead played 3. Use apple music instead.",1,2026-06-21T01:44:59.000Z
Spotify,Streaming Service,What is this edit system I can't move…,What is this edit system I can't move my songs anymore in my playlists like what is this new update I'm starting to think if I want to swap to a different app now because of this it's just pissing me off now,2,2026-06-20T17:37:45.000Z
Spotify,Streaming Service,Too many ads,"I think it is unfair you get an ad after almost every song. There are simply too many ads. It is particularly unfair for kids, why should a child have to suffer so many advertisements. Paying for premium is too expensive. I just think free should have less ads, like maybe one every 5 songs.",1,2026-06-20T16:56:04.000Z
Spotify,Streaming Service,Worst customer service ever,Worst customer service ever - struggled to get online rather then app to cancel the free trial and then was charged and finally they replied and said they wouldn’t refund as given plenty of notice within the trial to cancel - explained I couldn’t access account as email didn’t work and could renew password and had reached out to them prior and no response - I even escalated the complaint twice and told no refund as my fault,1,2026-06-20T08:50:30.000Z
Spotify,Streaming Service,Password change = no access to account,"I changed my password, now i cant login for 24h, if i want to contact customer service i need to login ...WTF!!Insane that huge companies like spotify have the freedom of doing wathever they want to their customers",1,2026-06-19T15:15:53.000Z
Spotify,Streaming Service,Worst customer service I’ve ever experienced …,"Money out of your bank account and then tell you it’s your fault. You’re better off, listening to AM/FM radio. I will never allow this app to be on my phone again nor any of my Childrens phones. There are thieves who make billions of dollars off of your minimum wage. Swallow that pill and tell me it tasted good.",1,2026-06-19T00:12:07.000Z
Spotify,Streaming Service,Prices of the subscription went sky…,Prices of the subscription went sky high in the last year also the app still doesnt support loseless audio.,3,2026-06-17T19:07:32.000Z
