Company,Industry,Review Title,Review Text,Rating,Date
Temu,Online Shopping,,Any clothing items bought from Temu are likely to be shoddy and made with cheap Polyester. I have wasted money on various purchases and they have almost all disappointed. If you buy household goods an... See more,2,2026-08-09T12:05:04.000Z
Temu,Online Shopping,,"Minus one star at least. I have repeatedly contacted Temu about their deliveries beng left anywhere but where they should. They have been dumed in garages at the back, the garden, but mostly rubbish... See more",1,2026-08-08T12:32:35.000Z
Temu,Online Shopping,Products,Do not bye from temu i bought 2 air fryers by mistake as I thought i bye through paypal and it did not go through it was just taken by temu but PayPal told me that it was on automatic payment and Paypal removed it. SO DO NOT TUST TEMU at all they are crap i have tried to get a returns address but failed and i don't think I will send them back anyway because of some one else doing that and was told they had come back damaged that's why I don't trust temu where is the proof they are damaged I ask myself that's why I will not send them back PLEASE DO NOT BUY FROM TEMU as I will not again,1,2026-08-11T15:38:12.000Z
Temu,Online Shopping,Their rewards system is completely misleading,"Their rewards system is completely misleading. They offer free cash gifts worth hundreds which turn out to be coupons worth $5-10 for nil purchases and higher value coupons of $20-35 only redeemable after you spend over $70 or more. Ignore the offers, they are discounts on cheap products initially overpriced. Tools are or quality rubbish in many cases, like the dash cams. Let the buyer beware. I have tried them a few times with more disappointment than joy. Spend extra an get quality from reputable vendors.",1,2026-08-11T14:58:55.000Z
Temu,Online Shopping,Basically got told I could return a…,"Basically got told I could return a perfume that smelled awful despite them knowing it had been opened and then refused to refund me. Even though they advised I send it back they are now saying I will get no refund and if i want the perfume back I need to pay again.

Basically got scammed out of £110 they are not a reliable company and happily let you get scammed by 3rd party sellers and lie though customer serivce constantly, temu are scammers they didnt used to be bad but even before this I ordered a cupboard that never arrived and they took a month to resolve it. Never using again.",1,2026-08-11T14:49:34.000Z
Temu,Online Shopping,Temu Sux,"Temu responded to my review, saying to make sure I wasn't the victim of fraud. Ohh I sure was but I don't need the bank to tell me, it was Temu who committed Fraud... You said I had $100.00 credit so I placed a $106. Order and was charged the full amount. Then you have this stupid spin wheel that somehow it always lands on the biggest reward that you NEVER really give. I had to cancel my credit card so you would stop taking my money!!! Temu you are the worst fraud ever!!!! I really hate you!!! I'm still trying to reset all my automatic monthly payments because I had to cancel my credit card. Not to mention that the stuff that I did order is ALL SUPER CHEAP!!! I'VE NEVER SEEN SUCH PIECE OF CRAP COMPANY IN MY LIFE!!! In all this I really blame myself because I should of looked at your reviews... you have one star, and you don't have less because the lowest rate we could give is one star!!! Please everyone DON'T BE A VICTIM OF TEMU!!!!",1,2026-08-11T14:18:19.000Z
Temu,Online Shopping,I like Temu for many items and order…,"I like Temu for many items and order quite often. Is mostly good value but some useless falsely advertised quality wise and functionality wise. My biggest annoyance though is the false offers of open the boxes and get free cost items. I ended with ""as a valued customer 5 free 0 costed items"" which I picked but to get each item I had to order something from £8 to £10 pound for each free item!!! Disappointed in these false so called offers. Would prefer not to see them. 2 stars because of this scamming.",2,2026-08-11T14:16:55.000Z
Temu,Online Shopping,Deceptive scam support! Mocked with templates and tried to trick me!,"I ordered a crystal candelabra lamp (order PO-186-01483704556152325), which arrived completely broken and shattered. What followed was a total nightmare of deceptive practices and mockery by Temu's customer support.First, when I reported the damaged item, the support agent opened a fake claim for ""Item not received."" Since tracking showed it was delivered to Spain, the system automatically rejected it. This was a deliberate setup to deny my refund.Second, after I protested, they promised a ""refund without return"" but instead forced a physical return and generated a label for GLS ROMANIA, completely ignoring that my shipping and residence address is in SPAIN! It is logistically impossible to ship broken glass across Europe using an invalid domestic label from another country.For over a week, the supervisor intentionally wasted my time by spamming me with useless automated templates. When I explicitly begged them to stop using templates and look at the country error, they mockingly replied with the exact same template script, word for word. No human empathy, no solutions, just wasting time.Finally, they tried to trick me by sending an email demanding that I cancel the return request and open a new one. This was a pathetic attempt to make me lose my consumer rights. Now, they have simply CLOSED the ticket without resolving anything.This is an absolute scam. I have already escalated this fraudulent behavior to my bank for a chargeback and filed an official case with the OCU Consumer Protection in Spain. Avoid Temu at all costs!",1,2026-08-11T13:06:52.000Z
Temu,Online Shopping,Complicated confusing full of promises…,Complicated confusing full of promises scam selling no real discounts,1,2026-08-11T12:04:05.000Z
Temu,Online Shopping,Avoid temu…,Avoid this company at all cost they subtract 25 percent and any discount they have applied to you when refunding items they seem like a con they show pictures that are not accurate and when u return you dont even get the money u paid for the items they win again. Seller send u wrong items and they do nothing tell u to speak to seller which refuses and your left shrouded.,1,2026-08-11T12:01:35.000Z
Temu,Online Shopping,"1/5 Stars — ABSOLUTELY TERRIBLE, AVOID AT ALL COSTS!!!","I have been trying to contact this company for AGES and it is an absolute nightmare! It is NOT worth the tiny bit of money you might save — not even close! All those tempting offers and deals are completely misleading — it’s nothing but a trap. The products are terrible, the service is even worse, and the staff are absolutely useless! Every single time you do actually get a reply, they just copy and paste the same generic script over and over again — they don’t even read what you’ve written! Half the time they don’t reply at all! It has been one of the absolute worst shopping experiences I have ever had in my life. I hated every minute of dealing with them. Consider this a serious warning to everyone — stay far away from Temu!",1,2026-08-11T12:00:44.000Z
Temu,Online Shopping,Not what I purchased …,"Purchased light blue denim shorts received dark blue shorts instead. Asked Temu to send what I ordered and paid for cosy $30, they offered me a $3 credit, have bought so many items from Temu a and will not be buying from them again, very disappointed.",1,2026-08-11T11:51:56.000Z
Temu,Online Shopping,What I am most annoyed at is the time…,"What I am most annoyed at is the time frame for returns to be processed. I PAY UP FRONT and IN GOOD FAITH for items from temu, more often than i care, items are poorly made cloting inc sizing or poorly made wigs so they get returned... WHY when I pay up front do I have to wait for the ware house to CHECK and process the items and takes over a week after recieving them. I return the items the same condition as I recieved them. One order was MISSING solar lights for the garden, I did not get refunded, why? because I could not put the item in the return package. make that make sense",3,2026-08-11T11:02:31.000Z
Temu,Online Shopping,Inconstructuve Refunds,"Quite Disturbing How Temu denies your return package. Happend twice now and I can not understand how it is possible.
After following the clear instructions giving, replacing the item as you recievd it now they stating no barcodes attached to the product. Really the garments don't even have barcodes and I used the same packaging that they sent the item with. This is now the 2nd time Temu withheld a Refund and within in minutes when u log a Claim it gets Denied. Quite SAD
PO-184-14928897992310009",1,2026-08-11T10:19:27.000Z
Temu,Online Shopping,I have been shopping with Temu for some…,"I have been shopping with Temu for some time now. I have at least tried 10 times to obtain free gifts. My last purchase was to receive the allocated gifts. I have not received what you advertised. I tried many times, and the same thing happens; I do not receive any. This time I spent over two hundred dollars and received only one. I feel you are dishonest, and I wish to withdraw my continued shopping. Heather Dalzell.",1,2026-08-11T07:43:52.000Z
Temu,Online Shopping,Not a single product size is correct,Not a single product size is correct. The quality is extremely poor.,1,2026-08-11T06:33:47.000Z
Temu,Online Shopping,I don't shop on TEMU and this is why,"Here's what I hate about Temu. When I want to shop I do not want to play games and pick cheap items for cheap prices, AND SPIN A STUPUD WHEEL. IT'S FOR PEOPLE WHO HAVE NOTHING ELSE TO DO I GUESS. I get so sick of all of that when I go into the TEMU App I just leave it. I have never purchased anything from TEMU for that very reason AND I NEVER WILL.",2,2026-08-11T05:55:28.000Z
Temu,Online Shopping,Fell for the dishonest promotional…,"Fell for the dishonest promotional gifts. Stay away from this crooked app and company if you know what’s good for you. Luckily I only purchased 2 items, but was supposed to receive 8 other free ones. They disappeared from my account after purchase. Rot in Hell!",1,2026-08-11T04:22:40.000Z
Temu,Online Shopping,The bottom line is,"The bottom line is, DO NOT GET TRAPPED BY THEIR SCHEMES. if you like something, just get it and stay away after that. They promised me 8 items and I got NOTHING. their excuses are nothing but HOG WASH. since they will see this view, I hope they honor their commitment and give me my items, then I will let you know of the outcome.",2,2026-08-11T04:06:27.000Z
Temu,Online Shopping,Baited,"Baited, promised, and guarateed free gift, cash back and coupons with additional purchases - and then switched - TO NOTHING. Wasted my time with multiple wheel spinning and the above false promises. When I contacted and complained to their chat service, it WANTED ME TO PAY $5.00 for them to take any action, and said it would be returned, later. Zero trust in Temu",1,2026-08-11T03:14:02.000Z
Temu,Online Shopping,Public Warning,"Public Warning: Check the Real Reviews Before You Buy
Rating: \star☆☆☆☆ (1 Star)
After more than two years of dealing with this platform, I have officially reached my limit. I am updating my review to 1 star to warn other customers. Please, do yourself a favor and check the independent public reviews before you order anything.
Key Reasons to Avoid This Platform
Terrible Product Quality: The items sold are extremely cheap and poorly made. If you wash red clothing, the dye bleeds so badly it looks like a mess. If you buy blue items, the color runs like house paint. Nothing is built to last.
Constant Promotional Loops: For over two years, they constantly trap customers in endless cycles pushing coupons and credits instead of providing reliable service or quality control.
Incompetent Support: When things go wrong, customer support offers nothing but empty promises and zero actual help.
A Warning to All Shoppers
Do not be fooled by inflated ratings or flashy promotions. Take a look at what real customers are saying on independent review platforms—the massive wave of 1-star reviews speaks for itself. Save yourself the headache, protect your money, and avoid shopping here. A Serious Warning to New Shoppers: Don't Fall for the Fake Ratings
Rating: \star☆☆☆☆ (1 Star)
To anyone thinking about joining or placing an order: do not be fooled by the 5-star and 4-star ratings. ### Why You Cannot Trust Their Ratings
The high ratings you see on the platform are heavily inflated because customers are constantly lured into leaving positive feedback with promises of free coupons and credits. It is a rigged system designed to trap new buyers who don't know any better.",1,2026-08-11T01:42:33.000Z
Temu,Online Shopping,Cheap products,The items I received were very cheaply made. The seat covers I ordered were not the ones pictured online and I returned them for my $30 back. Waiting to receive my refund. Wish me luck! I now receive a ridiculous amount of ads from Temu and it is driving me crazy!,1,2026-08-11T00:36:31.000Z
Temu,Online Shopping,It's a huge mistake getting anything…,It's a huge mistake getting anything from this place. I ordered a few items so far either it's junk or wrong size. And forget the free stuff they never sent what you chose. Horrible service . Waste of time I wouldn't have left one star.,1,2026-08-11T00:04:15.000Z
Temu,Online Shopping,I dont trust im not getting robbed,"I dont trust im not getting robbed , the purchase says it goes threw then tells me to verify payment method but one 5mins later is fine. Was supposed to get a $100 credit for buying all this shit and never received and most of my items are worthless junk. Nothing I actually want ever actually shows up but never any record when know I bought it
Every so often find something thats worth buying but over all dont waist ur time",2,2026-08-10T23:06:32.000Z
Temu,Online Shopping,Avoid this company and China altogether…,Avoid this company and China altogether until anti cruelty for animals are enacted.,1,2026-08-10T23:03:15.000Z
Temu,Online Shopping,Extremely Disappointed With Temu,"Extremely Disappointed With Temu – Poor Quality Products

I am extremely disappointed with my experience purchasing products from Temu. After ordering several different items, I found a consistent pattern of poor quality and inferior materials.

The shoes were not true to size and were much too wide. The parchment paper was so poor that everything I baked on it stuck to the paper. The shower caddy is extremely flimsy and does not feel sturdy enough for normal use. The Ziplock-style bags are very thin and flimsy. The clothing is made from extremely poor-quality material and does not look or feel like the quality represented in the listings.

These were not isolated issues with one product—they occurred across multiple categories of items. I expected better quality and value, and unfortunately, I was very disappointed.

Based on my experience, I would not recommend Temu to anyone looking for reasonably durable, good-quality products. Buyers should be very cautious and should not assume that the attractive prices mean they are getting good value.",1,2026-08-10T22:46:28.000Z
Temu,Online Shopping,Item out for delivery 7 days and still not here,"An absolute pile of shite who’ve taken my money and delivered nothing.

And now trying to get the review deleted.

Here you go.

Order ref.
PO-210-17564164424310876

My experience is real unlike your “dedicated assistants here to help”.

Thanks for your copy and paste reply. Like everything you’ve done to date you do not investigate anything. It’s all hollow meaningless words.

I have already used the messaging service you mention below and provided the response from Evri verifying that they have lost the parcel.

You’ve been given this information and yet still you don’t organise a replacement or issue compensation as per your T&Cs and a full refund.

Like I’ve said several times in my communications in the last few days, this will be my last ever order and urge everyone to take note of your behaviour and follow suit.",1,2026-08-11T07:19:00.000Z
