Combined Text,Sentiment,label
sound and lips not in sync why is the sound off? the voices and the mouths are not in sync on every program or movie! this is a big pet peeve for me! why is this happening. there are literally millions of people subscribing. you have enough money for this issue not to happen! do better!,Neutral,1
helped me with many design ideas and helped me with many design ideas and projects.,Positive,2
"i started using canva as an addition to capcut. i like the fact that canva is good for anyone who is new to video and image creation. i would recommend it for anyone that is just starting out , becaus... see more",Positive,2
"uber added undisclosed fees uber added undisclosed fees. the amount the app stated turned out to be 50 higher. instead of charging me 84, the charge was over 120 not counting the tip. and they make it difficult to talk to anyone. i have never used lyft but will now.",Negative,0
netflix needs better job advertising netflix needs better job advertising live content ..if they are going in the business of sports ..netflix needs to do much better..i had no idea the homerun derby was even on netflix!! and i have netflix!! they should have littered social media advertising it!! i mean come on we get so much dumb hit on social media and i barley saw anything about it..disappointed,Neutral,1
"downgraded to a cheaper room but downgraded to a cheaper room but overcharged by 585booking.com's handling of our trip was completely unacceptable. our original luxury apartment booking was double-booked, forcing us into alternative, much cheaper accommodation.despite being downgraded to a lower-quality property, we were still overcharged by 585 compared to what the cheaper stay actually cost. booking.com effectively kept our money for a luxury experience we never received.when i raised a complaint about this massive price difference, customer service refused to refund the 585 we were owed. instead, they only offered a standard 10 compensation. this is a complete scam. they allowed a double booking to happen and then kept our money for a cheaper room. avoid booking with them.",Negative,0
"temu was great until j t delivery i am very sorry to have to write this review. i have been ordering from temu for years and generally had a good experience, but since they switched to j t for deliveries, the process has become far too stressful. i recently ordered several items, including a custom order, for an important event. unfortunately, delivery was never even attempted. despite this, j t claimed that i had refused the package and sent it back to the sender. the temu representatives i spoke with via live chat were kind and friendly, and i appreciate their efforts. however, the only resolution they were able to offer was a refund plus a 20 discount coupon, capped at 20 and valid for just seven days. considering the circumstances, this does not come close to making up for the situation. the order included a custom-made item, and because of the delay and return, i no longer have enough time to reorder it elsewhere before the event. after being a customer for years, i am genuinely disappointed that this experience has made me decide not to order from temu again. i would strongly advise temu to reconsider working with j t, as an unreliable delivery partner can completely undermine an otherwise positive customer experience.",Negative,0
my 2 trip was good but the second last my 2 trip was good but the second last you own me a refund the driver didn t pick me up and i paid by card. i am requesting for my refund. and your driver they hardly call.,Negative,0
"almost missed my flight due to uber i made an advanced reservation for a ride to the msp airport for 4 45 am. the driver has never arrived and the platform could not let me cancel the ride, as i was indicated as on a ride. after 30 minutes, i had no option but to ride my car and use long term parking at the airport. almost missed my flight and was very stressed. uber charged me 25 and reversed it later but refused to reimburse for the 3 days parking. the company does not take any responsibility and must be regulated, perhaps on federal level.",Negative,0
"i would give this rating a 0 if i would give this rating a 0 if possible, my driver could not speak or read any english so he was going in totally blind, looking for my building that he never would have found if my boyfriend did not go outside chasing his car down through many different parking lots. the man triggered my bpd borderline personality disorder by screaming at me on the phone, hung up on me, ignored my calls and texts. then when i was trying to help him find my building and said look for 15 because it was much easier for him to find a building with a hidden number on it which i specifically wrote in my directions. he was furious that i told him to look for building 15 and started throwing a tantrum. this is extremely unprofessional and this is not the first time this has happened. i am completely furious with this company for not hiring capable enough people to understand basic english and instructions due to their lack of knowledge upon reading directions.please change your policies and do better.",Negative,0
"never buy i genuinely bought a set of bras from there and within 3 months they ripped, which sucked because i really liked them, the material was cheap. never buy from here.",Negative,0
thank you thank you. i like your services. everything is easy and clear.,Positive,2
"thankfully now i,have found rappi on thankfully now i,have found rappi on mexico .. uber are liars and cheats and human scum do not use them. their share has fallen 40 in the last few monthss ans should be 0.00000 as their service is less than anything in this .. thank you lord .. i will never ever work with the uber liars again",Negative,0
"wish i could give a 0 can t access an old facebook email, so messaged support asking for help as that was how i logged in to spotify. after being transferred to a specialist i was told that my account has been disabled due to security reasons and we cannot reactivate it . when i asked what the security reason was and if my data was possibly breached i was told we do not have any more information to share, but we will be here if you need help with anything else. i am afraid this is not something customer service can help with. unless you have a technical or payment issue, i will be ending this chat absolute ass response. 2026 customer service for you.",Negative,0
they robbed me i was charged for items they robbed me i was charged for items that were never delivered. simply then the representative told me the policy says they cannot provide a refund. doordash literally stole money from me smdh,Negative,0
"the drivers i had were all polite and the drivers i had were all polite and respectful. clean modern cars, arrived very quickly and we are reliable. the prices were reasonable, beats walking. the app is too easy to use and now cash is available as an option.",Positive,2
i received a green disc with an arrow i received a green disc with an arrow. did not order it and have no idea what you are to do with it. please explain what it is for,Negative,0
zero stars with all these ads after zero stars with all these ads after each song,Negative,0
"deceived by netflix i was cheated big by this platform, when they are claiming an offer for new members, of 7 days free-to-watch service to test, but ultimately, i ended up being charged for a whole month! this is outrageous, lying new subscribers in such despicable way! you will never hear about me being your member, no sir... cause you are a fraud!",Negative,0
cannot log in to reset my password tried logging in after months of being away. i cannot use my email address as it is a registered member. i was so cool. i try to log in says oops and some bullshit i cannot get to any page wher i can access my detaild to update payment as spotify wont let me into my own account!!! ia was needing some music for my morning run. i will choose another provider. spotify you lost a custoimer as i could not even get to reset my password,Negative,0
poor and uninteresting content poor and uninteresting content. lack of anything interesting. i ll be canceling netflix sucks,Negative,0
i would give 0 stars if that was a i would give 0 stars if that was a possibility. i ordered from a vietnamese restaurant that i order from frequently. i had 3 issues with my order. driver took 44 minutes to deliver my order restaurant is only 3.1 miles from my house. food arrived cold due to excessive delivery time. the sampler platter i ordered contained the wrong combo of items that i had chosen for it. i contacted help through the app. explained the situation. provided pic of wrong sampler platter i received. also provided pic of the other dish that arrived cold as requested. which is ridiculous as you cannot tell it was cold from a pic. i was told that my order was not eligible for any type of refund. i contacted door dash customer service next by phone and spoke to live agent. they told me that due to door dash policy i was not eligible for even a partial refund for the wrong item. this is bs!,Negative,0
worst support ever my account got hacked and i tried contacting support 3 times and everytime i did they just closed conversation after saying they will check it out without any respone worst support ive dealt with in my life and a horrible app too,Negative,0
la version gratuita es terrible y la la version gratuita es terrible y la premium demasiado cara por el servicio. dinosaurios,Negative,0
"i was a publisher user but with it i was a publisher user but with it going away i needed a user friendly program to design with for the church. there are functions that aren t as easy to preform, but i think it just that i haven t gotten the hang of operating in canva, yet. i am delighted with the ease of most functions and the many options i have yet to uncover.",Positive,2
i ordered mcdonald's door dash delivery and they delivered an entirely wrong order! the driver claimed to have delivered the correct order but i have the bag with the receipt clearly showing the order... see more,Negative,0
