company,review_text
Temu,"TB
Trish Boyington
2 days ago
Any clothing items bought from Temu are likely to be shoddy and made with cheap Polyester. I have wasted money on various purchases and they have almost all disappointed. If you buy household goods an... See more
Company replied
Useful
Share"
Temu,"Janet Erlam
3 days ago
Minus one star at least. I have repeatedly contacted Temu about their deliveries beng left anywhere but where they should. They have been dumed in garages at the back, the garden, but mostly rubbish... See more
Company replied
Useful
1
Share"
Temu,"MJ
Maurice Jones
GB
•
13 reviews
13 minutes ago
Products
Do not bye from temu i bought 2 air fryers by mistake as I thought i bye through paypal and it did not go through it was just taken by temu but PayPal told me that it was on automatic payment and Paypal removed it. SO DO NOT TUST TEMU at all they are crap i have tried to get a returns address but failed and i don't think I will send them back anyway because of some one else doing that and was told they had come back damaged that's why I don't trust temu where is the proof they are damaged I ask myself that's why I will not send them back PLEASE DO NOT BUY FROM TEMU as I will not again
August 11, 2026
Unprompted review
Useful
Share"
Temu,"GF
Garry Folcarelli
AU
•
4 reviews
An hour ago
Their rewards system is completely misleading
Their rewards system is completely misleading. They offer free cash gifts worth hundreds which turn out to be coupons worth $5-10 for nil purchases and higher value coupons of $20-35 only redeemable after you spend over $70 or more. Ignore the offers, they are discounts on cheap products initially overpriced. Tools are or quality rubbish in many cases, like the dash cams. Let the buyer beware. I have tried them a few times with more disappointment than joy. Spend extra an get quality from reputable vendors.
August 11, 2026
Unprompted review
Useful
Share"
Temu,"LE
Leila
GB
•
2 reviews
An hour ago
Basically got told I could return a…
Basically got told I could return a perfume that smelled awful despite them knowing it had been opened and then refused to refund me. Even though they advised I send it back they are now saying I will get no refund and if i want the perfume back I need to pay again.

Basically got scammed out of £110 they are not a reliable company and happily let you get scammed by 3rd party sellers and lie though customer serivce constantly, temu are scammers they didnt used to be bad but even before this I ordered a cupboard that never arrived and they took a month to resolve it. Never using again.
August 11, 2026
Unprompted review
Useful
Share"
Temu,"Pinguino Dee
US
•
2 reviews
2 hours ago
Temu Sux
Temu responded to my review, saying to make sure I wasn't the victim of fraud. Ohh I sure was but I don't need the bank to tell me, it was Temu who committed Fraud... You said I had $100.00 credit so I placed a $106. Order and was charged the full amount. Then you have this stupid spin wheel that somehow it always lands on the biggest reward that you NEVER really give. I had to cancel my credit card so you would stop taking my money!!! Temu you are the worst fraud ever!!!! I really hate you!!! I'm still trying to reset all my automatic monthly payments because I had to cancel my credit card. Not to mention that the stuff that I did order is ALL SUPER CHEAP!!! I'VE NEVER SEEN SUCH PIECE OF CRAP COMPANY IN MY LIFE!!! In all this I really blame myself because I should of looked at your reviews... you have one star, and you don't have less because the lowest rate we could give is one star!!! Please everyone DON'T BE A VICTIM OF TEMU!!!!
August 9, 2026
Unprompted review
Useful
Share"
Temu,"Mr BryanP
GB
•
62 reviews
Updated 2 hours ago
I like Temu for many items and order…
I like Temu for many items and order quite often. Is mostly good value but some useless falsely advertised quality wise and functionality wise. My biggest annoyance though is the false offers of open the boxes and get free cost items. I ended with ""as a valued customer 5 free 0 costed items"" which I picked but to get each item I had to order something from £8 to £10 pound for each free item!!! Disappointed in these false so called offers. Would prefer not to see them. 2 stars because of this scamming.
August 11, 2026
Unprompted review
Useful
Share"
Temu,"Jane
ES
•
1 review
3 hours ago
Deceptive scam support! Mocked with templates and tried to trick me!
I ordered a crystal candelabra lamp (order PO-186-01483704556152325), which arrived completely broken and shattered. What followed was a total nightmare of deceptive practices and mockery by Temu's customer support.First, when I reported the damaged item, the support agent opened a fake claim for ""Item not received."" Since tracking showed it was delivered to Spain, the system automatically rejected it. This was a deliberate setup to deny my refund.Second, after I protested, they promised a ""refund without return"" but instead forced a physical return and generated a label for GLS ROMANIA, completely ignoring that my shipping and residence address is in SPAIN! It is logistically impossible to ship broken glass across Europe using an invalid domestic label from another country.For over a week, the supervisor intentionally wasted my time by spamming me with useless automated templates. When I explicitly begged them to stop using templates and look at the country error, they mockingly replied with the exact same template script, word for word. No human empathy, no solutions, just wasting time.Finally, they tried to trick me by sending an email demanding that I cancel the return request and open a new one. This was a pathetic attempt to make me lose my consumer rights. Now, they have simply CLOSED the ticket without resolving anything.This is an absolute scam. I have already escalated this fraudulent behavior to my bank for a chargeback and filed an official case with the OCU Consumer Protection in Spain. Avoid Temu at all costs!
August 10, 2026
Unprompted review
Useful
Share"
Temu,"George
GB
•
56 reviews
4 hours ago
Complicated confusing full of promises…
Complicated confusing full of promises scam selling no real discounts
August 11, 2026
Unprompted review
Useful
Share"
Temu,"MK
mehmet kisa
GB
•
7 reviews
4 hours ago
Avoid temu…
Avoid this company at all cost they subtract 25 percent and any discount they have applied to you when refunding items they seem like a con they show pictures that are not accurate and when u return you dont even get the money u paid for the items they win again. Seller send u wrong items and they do nothing tell u to speak to seller which refuses and your left shrouded.
August 10, 2026
Unprompted review
Useful
Share"
Temu,"Gagandeep Singh
GB
•
1 review
4 hours ago
1/5 Stars — ABSOLUTELY TERRIBLE, AVOID AT ALL COSTS!!!
I have been trying to contact this company for AGES and it is an absolute nightmare! It is NOT worth the tiny bit of money you might save — not even close! All those tempting offers and deals are completely misleading — it’s nothing but a trap. The products are terrible, the service is even worse, and the staff are absolutely useless! Every single time you do actually get a reply, they just copy and paste the same generic script over and over again — they don’t even read what you’ve written! Half the time they don’t reply at all! It has been one of the absolute worst shopping experiences I have ever had in my life. I hated every minute of dealing with them. Consider this a serious warning to everyone — stay far away from Temu!
August 11, 2026
Unprompted review
Useful
Share"
Temu,"KW
Karen Waights
AU
•
1 review
4 hours ago
Not what I purchased …
Purchased light blue denim shorts received dark blue shorts instead. Asked Temu to send what I ordered and paid for cosy $30, they offered me a $3 credit, have bought so many items from Temu a and will not be buying from them again, very disappointed.
August 7, 2026
Unprompted review
Useful
Share"
Temu,"Dawn Kinsley
GB
•
94 reviews
Updated 5 hours ago
What I am most annoyed at is the time…
What I am most annoyed at is the time frame for returns to be processed. I PAY UP FRONT and IN GOOD FAITH for items from temu, more often than i care, items are poorly made cloting inc sizing or poorly made wigs so they get returned... WHY when I pay up front do I have to wait for the ware house to CHECK and process the items and takes over a week after recieving them. I return the items the same condition as I recieved them. One order was MISSING solar lights for the garden, I did not get refunded, why? because I could not put the item in the return package. make that make sense
August 11, 2026
Unprompted review
Useful
Share
Reply from Temu
3 hours ago
Hello, thank you for reaching out to us. We are sorry for any inconvenience caused. Customer satisfaction is of the utmost importance and we are constantly working to improve our service quality. If you need further assistance, please message us through Temu.com or Temu app live chat. We appreciate you giving us another chance to serve you. Best wishes, Temu team"
Temu,"Divan Ricardo Van Wyk
ZA
•
8 reviews
6 hours ago
Inconstructuve Refunds
Quite Disturbing How Temu denies your return package. Happend twice now and I can not understand how it is possible.
After following the clear instructions giving, replacing the item as you recievd it now they stating no barcodes attached to the product. Really the garments don't even have barcodes and I used the same packaging that they sent the item with. This is now the 2nd time Temu withheld a Refund and within in minutes when u log a Claim it gets Denied. Quite SAD
PO-184-14928897992310009

August 11, 2026
Unprompted review
Useful
Share
Reply from Temu
3 hours ago
Hello, thank you for reaching out to us. We are sorry for any inconvenience caused. Customer satisfaction is very important to us, and we are continuously working to improve our service. Thank you for sharing the relevant information, and we have already escalated your issue with the relevant team for further follow-up. If you need any additional assistance, please feel free to message us through Temu.com or the Temu app live chat via this link: https://share.temu.com/NWGRVrrOSMA. We appreciate your patience and understanding. Best wishes, Temu Team"
Temu,"Heather Dalzell
AU
•
1 review
8 hours ago
I have been shopping with Temu for some…
I have been shopping with Temu for some time now. I have at least tried 10 times to obtain free gifts. My last purchase was to receive the allocated gifts. I have not received what you advertised. I tried many times, and the same thing happens; I do not receive any. This time I spent over two hundred dollars and received only one. I feel you are dishonest, and I wish to withdraw my continued shopping. Heather Dalzell.
August 11, 2026
Unprompted review
Useful
Share
Reply from Temu
4 hours ago
Hello, thank you for participating in our promotional activities and we are sorry that you are experiencing difficulties with your rewards. Customer satisfaction is of the utmost importance and we are constantly working to improve our service quality. Please contact us again through Temu.com or Temu app live chat so we can help you investigate right away. Best wishes, Temu team"
Temu,"GH
Ghada Hammad
AE
•
2 reviews
9 hours ago
Not a single product size is correct
Not a single product size is correct. The quality is extremely poor.
August 1, 2026
Unprompted review
Useful
Share
Reply from Temu
3 hours ago
Hello, thank you for shopping on Temu! Your feedback is extremely valuable to us and we are sorry that you are not satisfied with some of your items. We implement strict policies and control measures to ensure product quality and accurate product descriptions. Temu's Purchase Protection program offers full refunds if your items do not arrive, arrive damaged, or do not match the description or photos (https://www.temu.com/temu-purchase-protection.html). To apply for a refund, login to the Temu app or Temu.com with the account used for your order, open the ""Your orders"" page, and click ""Return/Refund."" For detailed return instructions, please visit https://www.temu.com/return-and-refund-policy.html. You can choose to receive your refund back to your original payment method or as Temu credits. Temu credits will appear in your Temu credit balance within 3 minutes and can be used immediately. If you choose to receive your refund back to your original payment method, please allow 5-14 business days for it to appear since timing depends on your financial institution. If you need further assistance, please message us through Temu.com or Temu app live chat. Best wishes, Temu team"
