Company,Industry,Review Title,Review Text,Rating,Date
Uber,Ride Sharing,,"Waited 1.5 hrs on the Uber app for a ride. After several messages of ""searching for a driver"" , 1-14 minutes, we're nearly there don't log out as you could go to the back on the queue, driver locate... See more",1,2026-08-09T10:11:47.000Z
Uber,Ride Sharing,,I will never request a ride again due to a horrible Uber driver named Jeffery. On July 28th I requested a Uber XL to take my elderly mom to a doctors appointment. The driver shows up in a crabby van... See more,1,2026-08-09T15:51:36.000Z
Uber,Ride Sharing,,I do not wanted to give one star even. this my second time I am experiencing the same problem again and again. The driver is simply accepting the trip without thinking they can make it. They don't giv... See more,1,2026-08-09T16:56:45.000Z
Uber,Ride Sharing,,I pre-booked a XXL and last minute they sent XL car which doesn't fit all the members in the group. Stranded with no options end up using that car to send young and elderly people and rest had to use... See more,1,2026-08-09T10:29:34.000Z
Uber,Ride Sharing,They are not at all responsible…,They are not at all responsible drivers. It’s not only uber but lift and Hopp all are hopeless. I booked a ride at morning 7:30 bcoz I had a meeting at 8:00. My distance was 20 mts from home. I was waiting for him it was almost 8:00 and this driver Arif arrived when asked why so late he said he went to Tim Horton for coffee. It’s so ridiculous felt to punch on his face. Also they cancel whenever they want without any reason and uber deduct fine from our account. Basically it’s a thread to take ride private rides.,1,2026-08-11T14:25:04.000Z
Uber,Ride Sharing,Account,"Hi
Uber is not good .please dont trust account my account 1 year and 7 month
£47.96p",1,2026-08-11T13:53:27.000Z
Uber,Ride Sharing,"""It’s very easy to follow and provides…","""It’s very easy to follow and provides all the information you need, which gives you the confidence to take the ride.""",5,2026-08-11T13:26:17.000Z
Uber,Ride Sharing,Nice and clean car,Nice and clean car. Driver drived safetly.,4,2026-08-11T12:06:21.000Z
Uber,Ride Sharing,Tried to order an uber,"Tried to order an uber, for 15 min they couldn't find a driver so I cancelled and they charged me £5 for cancelling. Never again",1,2026-08-11T11:19:05.000Z
Uber,Ride Sharing,We were in Krakow four days and we used…,"We were in Krakow four days and we used Uber for transfers. Always on time, clean cars, friendly and skilled drivers. Big thank you 😊",5,2026-08-11T10:45:06.000Z
Uber,Ride Sharing,Uber submitted claim to my insurance…,"Uber submitted claim to my insurance for an incident that never occurred, due to rider providing false information. Now I’ll have go back and in get my insurance cleared up.",1,2026-08-11T06:11:51.000Z
Uber,Ride Sharing,Absolutely terrible customer support…,"Absolutely terrible customer support experience with Uber.

I lost an item during a trip and was trying to confirm whether an item the driver found was actually mine. Uber sent me an email asking me to confirm the item, but there was no message or picture visible, so I had no way to identify it.

I spent hours trying to get a clear answer through support. I was repeatedly told that my request would be transferred to a “specialized team,” with no clear explanation of what that meant or how long I would have to wait. I specifically asked whether I needed to keep checking the app or whether someone would contact me, but still couldn't get a straightforward answer.

The final support agent acknowledged my concern, repeated the standard warning that Uber and the driver aren't responsible for lost items, and then closed the chat while I was still trying to get an answer. That felt incredibly dismissive and rude.

I understand that Uber cannot guarantee recovery of a lost item, and I wasn't asking them to magically find it. I simply wanted to confirm whether the item was mine and understand what I was supposed to do next. Instead, I was transferred around, left waiting, and ultimately had the conversation closed without resolving the actual issue.

For a company of Uber's size, this is an unnecessarily frustrating customer support experience. The problem isn't just the lost item, the lack of clear communication and the way the support interaction was handled is what made this experience so bad.",1,2026-08-10T23:16:52.000Z
Uber,Ride Sharing,A huge disappointment,"I was sorry to have to write such a negative review. I opened a new Uber account which I have now deleted. The first taxi ride was positive with being on time and a friendly driver. Then I booked a taxi and the driver never showed yet they still tried to charge me. Customer services kept me going round in circles and then simply ignored the issue so I blocked them from any further transactions and deleted the account. My advice avoid , look elsewhere or at local companies instead.",1,2026-08-10T22:10:17.000Z
Uber,Ride Sharing,The customer service is terrible,"The customer service is terrible, I have been waiting 2 hours for a delivery while online to the chat if I cancel it they said I will be charged £10 I have asked for the complaints procedure and to cancel my uber one account every time I do so they end the chat",1,2026-08-10T20:49:02.000Z
Uber,Ride Sharing,Uber app is easy to use with efficient…,Uber app is easy to use with efficient results. The drivers were professional and personable. Great experience!!,5,2026-08-10T17:31:06.000Z
Uber,Ride Sharing,Avoid,"Uber one is a joke...customer services is absolutely terrible....cancelled my account...won't use again.....
And uber eats couldn't care less.....",1,2026-08-10T16:13:21.000Z
Uber,Ride Sharing,"Hi, it's Uber. We want to discuss your cars extended warranty...","How many texts and emails do you need to actually send to people. My phone won't shut up between the two. I can't wait to uninstall it. If you want to keep your new customers, consider that. The actual usage of the app is also annoying. We had a driver cancel a ride on us before they arrived to get us. Being new to the platform we didn't know what happened right away so we panicked. After realizing, we readjusted. It would have been easier if the app told us that the driver gave up (like 2 streets away from us).",2,2026-08-10T14:14:03.000Z
Uber,Ride Sharing,Ridiculous,"Very disappointing experience with Uber. Drivers put in long hours and spend money on fuel, maintenance and running costs, yet the pay for many trips feels ridiculously low. The fares often don’t seem to reflect the time and distance involved. Uber needs to start paying drivers fairly and value the people who keep the platform running.",1,2026-08-10T11:36:56.000Z
Uber,Ride Sharing,I would score 0 if possible,"I would score 0 if possible, placed request told confirmed then 5 minutes later told bust and they cancelled this happened 4 times whilst price increased every time. All cancelled by them.",1,2026-08-10T09:48:30.000Z
Uber,Ride Sharing,Insufficient refund system,"After my money was unrightfully deducted I was refunded only in UBER credits, not directly to my bank account.",2,2026-08-10T09:01:57.000Z
Uber,Ride Sharing,**Very disappointing Uber experience in…,"**Very disappointing Uber experience in Istanbul**

I have been a regular Uber customer for **more than 10 years**, but this was one of the most disappointing experiences I have ever had with Uber.

I booked a taxi through Uber and the fare shown in the app was **138 TL**. However, the driver demanded and took an additional **300 TL** from me. Uber still charged the normal **138 TL** through the app, meaning I ended up paying an extra 300 TL directly to the driver.

What made the situation even worse was **Uber Customer Support / Ceylan **. I contacted them expecting help, but they did not resolve the issue or provide any meaningful assistance.

After using Uber for more than 10 years, I expected much better customer protection and support. This experience seriously damaged my trust in the service.

I expect Uber to properly investigate the driver, take appropriate action, and refund the **300 TL** that I was forced to pay. There are CCTV cams in these Cars you can easily look for the truth.",1,2026-08-10T08:44:39.000Z
Uber,Ride Sharing,Charged $67 for 1 km and three minutes in the car,I made an error and booked following a link sent by Uber. This link sent me directly from Auckland airport back to Auckland airport. It was very obviously an error because who drives from the airport immediately back to the airport. Uber charged me $67 for this and we’re not interested in discussing any sort of refund. There’s nobody you can speak to and this type of customer relations is unacceptable in today’s world. I’ll be ordering a direct taxi in the future,1,2026-08-10T08:17:39.000Z
Uber,Ride Sharing,Horrible account security and even worse customer support,"Uber locked changes to my account over an unexplained $50 USD charge. I repeatedly told them I believed it was related to a fraudulent gift card transaction I had reported in April, which my bank fortunately blocked.

Instead, Uber Support repeatedly claimed the $50 was for a trip on a day I didn't use Uber, in USD even though we're in Canada and I haven't been to the US in two years. There was also no record of this supposed trip in my Uber history.

I asked 7 times for basic details about the transaction. Instead of answers, I kept receiving generic responses telling me they were happy to help and that I simply needed to pay the $50 to unlock my account.

Eventually, I had to call Uber's emergency support number just to speak with someone who would actually investigate. The charge was finally removed after their security team determined my account may have been accessed illegitimately. They suggested someone had obtained my login credentials, despite my account already having a complex, randomly generated, unique password and 2FA.

Then Uber contacted me again and finally confirmed what I had been telling them all along: the $50 was the fraudulent gift card purchase from April that I had already reported. It was never a trip.

The fraud itself is concerning. The fact that my bank protected me when Uber didn't is worse. But spending hours dealing with support agents who repeatedly gave me incorrect information and asked me to pay a fraudulent charge was what really destroyed my confidence in Uber.",1,2026-08-10T05:20:24.000Z
Uber,Ride Sharing,Appalling customer service and customer support…,"Appalling customer service and customer support.
App sent driver wrong address was charged cancel fee and trip fee and sidnt use the service had to organise another ride. No help from customer service or support. Do not recommend ising uner and will not be using in the future.",1,2026-08-10T05:19:23.000Z
Uber,Ride Sharing,All of our drivers were on time and…,All of our drivers were on time and very pleasant. We traveled from Friday 8/7 /26to Sunday 8/9/26 morning using uber and it was great. Thank you to all of our drivers,5,2026-08-09T23:33:22.000Z
Uber,Ride Sharing,Total waste of time,"Total waste of time, continued possible prices to which noone arrives",1,2026-08-09T22:22:41.000Z
Uber,Ride Sharing,Uber left us STRANDED on 8/9 after we…,"Uber left us STRANDED on 8/9 after we paid and scheduled a 6 passenger to Pittsburgh airport from Vandergrift, PA. Its a 1.5 hour trip and not ez to find a driver last minute.",1,2026-08-09T22:02:06.000Z
Uber,Ride Sharing,Stupid app won't accept my Discover…,Stupid app won't accept my Discover card. It 1000% works anywhere i go but with Uber app. LYFT IS WAY BETTER!!!!!!! You don't have to fund the wallet!!!!!!,1,2026-08-09T21:58:46.000Z
Uber,Ride Sharing,The Uber driver stole my daughters…,The Uber driver stole my daughters belongs and didn’t drop them off after he was booked to.,1,2026-08-09T21:29:16.000Z
Uber,Ride Sharing,I am not even ready to give 1 star…,I am not even ready to give 1 star also. They have a pathetic service. I lost 15000 product in Auto and when I tried through app to call the driver no response. In Uber support they didn't provide me driver number saying it's privacy. I even shared my number on app. But still no use.,1,2026-08-09T19:28:41.000Z
Uber,Ride Sharing,The drive so far are great and on-time…,The drive so far are great and on-time service also feel safe and secure.,5,2026-08-09T17:37:51.000Z
Uber,Ride Sharing,I do not wanted to give one star even,"I do not wanted to give one star even. this my second time I am experiencing the same problem again and again. The driver is simply accepting the trip without thinking they can make it. They don't give any priority for the customer time. Each trips are scheduled according so many other plans. If one loose, everything going to be messed up. Very bad experience from Uber again and again.",1,2026-08-09T16:56:45.000Z
Uber,Ride Sharing,No more Uber rides for my family,I will never request a ride again due to a horrible Uber driver named Jeffery. On July 28th I requested a Uber XL to take my elderly mom to a doctors appointment. The driver shows up in a crabby van and tells me that he only has room for 1 passenger. Then he tells me that he is dismissing me! Unprofessional scam artist. I never should have been charged a cancellation fee from the jerk. I ordered a vehicle for 4 passengers not 2 passengers.,1,2026-08-09T15:51:36.000Z
Uber,Ride Sharing,Great service from August 5th through August 9th,All the drivers have been on time and very courteous and helpful,5,2026-08-09T12:24:19.000Z
Uber,Ride Sharing,Rude and Inadequate Uber customer Service,"I pre-booked a XXL and last minute they sent XL car which doesn't fit all the members in the group. Stranded with no options end up using that car to send young and elderly people and rest had to use public transport to reach destination on time to attend pre-booked event. When called customer care no empathy what so ever and they disconnected the call mid-way through the discussion suggesting they can't do anything and I have to rebook on my own descretion. When tried to raise this issue through chat option also, case being closed without any explanation or solution. I used Uber before many times but I see their customer service standards are going down to rock bottom as they are growing into monopoly in this field. Really bad experience and bad customer service. Similar experiences to few of my friends as well, pre-booked taxies got canceled last minute and struggled to reach airport to catch flights. Probably people need to raise their voice and teach this rude company a lesson. #NOUBER",1,2026-08-09T10:29:34.000Z
Uber,Ride Sharing,Waited 1.5 hrs on the Uber app for a…,"Waited 1.5 hrs on the Uber app for a ride. After several messages of ""searching for a driver"" , 1-14 minutes, we're nearly there don't log out as you could go to the back on the queue, driver located & seen on msp then disappears. Absolute terrible situation. Would give zero stars if possible.Nothing turned up ' ended up walking.
Absolute joke. Location Beccles. Date 4/8/26.",1,2026-08-09T10:11:47.000Z
Uber,Ride Sharing,App so easy and reliable,App so easy and reliable. Drivers always courteous and efficient,5,2026-08-09T08:21:15.000Z
Uber,Ride Sharing,uber refunds,"even though i was confused when uber took out a subscription im sure i cancelled, they did give me a very quick refund ! i think they should focus on sending notifications out when the membership is being renewed so customers know to cancel! nothing bad to say about the actual app tho , very nice drivers !",3,2026-08-09T06:11:59.000Z
Uber,Ride Sharing,Urber been taking subscription out…,Urber been taking subscription out without my permission I done cancelled it when I want to check on a ride and I don't use them I end up using Lyft. Days later I'm getting charged can't talk to a live person they was doing it with one card now my other card. Sucks,1,2026-08-09T01:45:11.000Z
Uber,Ride Sharing,Terrible Service,"Terrible service. My driver never showed up for my booked ride and when I called him he hung up on me. I then had to pay a portion of the sum I paid to UBER, for being left in the lurch on the street. A single woman alone. I missed my train home as a result, and I paid about 4 pounds for the pleasure. Unacceptable.",1,2026-08-09T13:20:03.000Z
