Company,Industry,Review Title,Review Text,Rating,Date
Wise,Financial Services,,"Transactions are all designed so that after initial setup you can repeat without having to re-enter any data except amount if different. Prices are better then bank. Plus, you get interst while waitin... See more",5,2026-08-07T09:38:42.000Z
Wise,Financial Services,,"We used the Wise currency card while travelling to Vienna, Bratislava, Budapest & onto Azerbaijan, Georgia & Armenia. The exchange rates were very good & we loved the ease with which we could add mone... See more",5,2026-08-09T20:44:57.000Z
Wise,Financial Services,,I’ve had very good experiences with all my transactions so far. Processing has always worked straight away or within a very short time. You are kept fully informed of every development. Customer servi... See more,5,2026-08-08T15:00:27.000Z
Wise,Financial Services,,"Wise has been very helpful with transferring currency for travel and for providing cash exchange while living abroad. They are easy to use, accurate and clear in every manor. I rarely have to call i... See more",5,2026-08-09T13:22:41.000Z
Wise,Financial Services,Smooth app,"Smooth app, very nice and easy going",5,2026-08-11T16:59:35.000Z
Wise,Financial Services,Lightning Quick,Good exchange rate and into my bank in seconds....on a weekend!,5,2026-08-11T16:07:29.000Z
Wise,Financial Services,Great services,"Great services.
All is very easy and intuitive.
Well done !
Keep up the food work.",5,2026-08-11T15:48:11.000Z
Wise,Financial Services,I wait too much time before I receive…,I wait too much time before I receive my money,3,2026-08-11T14:50:29.000Z
Wise,Financial Services,What's the verification for?,"I don't understand why Wise demanded verifications when I want to transfer some money from my bank account to my broker account via my own Wise account (it's all under the same name).

Other than that, everything else was super!",4,2026-08-11T14:42:05.000Z
Wise,Financial Services,Security issue,"I have been using my Wise account for approximately six years, and I would like to understand the specific reason why my account was closed.

Previously, my account was targeted in a hacking/security incident. I contacted Wise Support at the time and explained the situation. I was informed that Wise was unable to provide me with all the information about the person who attempted to use my personal card.

If my account has now been closed because of a security-related issue, I believe it is important to clarify that I was the victim of the incident, not the person responsible for it. I took the appropriate steps by contacting Wise Support and reporting the problem.

Closing or flagging my account may be the easiest solution from a security perspective, but I believe the appropriate approach would be for the Wise security team to investigate the incident properly and protect the legitimate account holder.

I have been a customer for six years, so I kindly ask Wise to review my case and explain the reason for the closure. If the closure is related to the previous security incident, I would also appreciate it being reconsidered, as I was the victim of the attempted unauthorized activity.

Thank you for reviewing my case.",1,2026-08-11T14:29:56.000Z
Wise,Financial Services,"Cheap, easy, and fast","I haven’t found a cheaper, easier, or faster way to transfer money across currencies.",5,2026-08-11T14:11:35.000Z
Wise,Financial Services,I like how quickly it’s processed.,"I’ve been using Wise for several years on my travels, mainly in Asia, to pay for things like hotel bills in local currencies, and I’ve never had any problems. I like how quickly it’s processed.",5,2026-08-11T13:36:48.000Z
Wise,Financial Services,Always good rates,"Always good rates, and an easy to use App.",5,2026-08-11T13:12:25.000Z
Wise,Financial Services,"Great experience,","Hi there,

It makes us so happy to hear that you've had a great experience with Wise 💚

Thanks for taking the time to leave us a review!

-Wise",5,2026-08-11T12:29:51.000Z
Wise,Financial Services,It's a great site to get you foreign…,It's a great site to get you foreign payments get payed fast.,5,2026-08-11T12:24:42.000Z
Wise,Financial Services,Nothing to complaint so far,"Nothing to complaint so far, just worried",4,2026-08-11T11:46:28.000Z
